PXD,SampleGroup,ReferencePXD,SourceProteinID,IdentifierType,MappedBaseAccessions,IsDdr
PXD033146,pathological rotator cuff tendon,PXD033146,O00468,UniProtKB,O00468,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00469,UniProtKB,O00469,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00471,UniProtKB,O00471,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00478,UniProtKB,O00478,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00479,UniProtKB,O00479,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00483,UniProtKB,O00483,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00487,UniProtKB,O00487,TRUE
PXD033146,pathological rotator cuff tendon,PXD033146,O00499,UniProtKB,O00499,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00505,UniProtKB,O00505,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00506,UniProtKB,O00506,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00534,UniProtKB,O00534,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00560,UniProtKB,O00560,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00567,UniProtKB,O00567,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00571,UniProtKB,O00571,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00584,UniProtKB,O00584,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00622,UniProtKB,O00622,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00625,UniProtKB,O00625,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00629,UniProtKB,O00629,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00634,UniProtKB,O00634,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00712,UniProtKB,O00712,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00743,UniProtKB,O00743,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00754,UniProtKB,O00754,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00757,UniProtKB,O00757,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00764,UniProtKB,O00764,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14494,UniProtKB,O14494,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14495,UniProtKB,O14495,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O14497,UniProtKB,O14497,FALSE
