PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,WholeProteomeRelativePercentile,DetectedSampleCount,QuantSampleCount,DetectedSampleFraction,MedianLog2SignalDetected,Measurement,SourceFile
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92993,KAT5,47.1551724137931,8,9,0.888888888888889,27.9194500758454,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q969S8,HDAC10,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q96DB2,HDAC11,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q96EB6,SIRT1,25.0553568386987,6,9,0.666666666666667,26.2801701156289,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q99497,PARK7,93.4718614718615,9,9,1,32.3976705290718,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9BWD1,ACAT2,88.551724137931,9,9,1,31.5399158100109,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9BY41,HDAC8,0,3,9,0.333333333333333,24.1624633231602,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9H7Z6,KAT8,0,2,9,0.222222222222222,26.1850680444888,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9H8E8,CSRP2BP,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9H8M2,BRD9,1.2031859006948,6,9,0.666666666666667,23.6005464859718,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
