ReferenceKey,Model,ReferenceKey,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
PC3M_DMSO,ME2,PC3M_DMSO,1,177,28,0.15819209039548,0.416414591491646,0.258222501096166,0.258222501096166
GSE266884_MES28_vector_control,ME2,GSE266884_MES28_vector_control,1,320,220,0.6875,0.339528226958133,-0.347971773041867,0.347971773041867
GSE119834_NSC,ME2,GSE119834_NSC,1,307,164,0.534201954397394,0.320300994545377,-0.213900959852018,0.213900959852018
RKO_DMSO,ME2,RKO_DMSO,1,193,90,0.466321243523316,0.440751275798017,-0.025569967725299,0.025569967725299
GSE275256_HMC3_vehicle,ME2,GSE275256_HMC3_vehicle,1,287,141,0.491289198606272,0.431339289757905,-0.0599499088483664,0.0599499088483664
HK2_untreated,ME2,HK2_untreated,2,432,230,0.532407407407407,0.327403337649157,-0.205004069758251,0.205004069758251
HUVEC_untreated,ME2,HUVEC_untreated,1,323,172,0.532507739938081,0.378287684533745,-0.154220055404335,0.154220055404335
tendon_nondiabetic,ME2P,tendon_nondiabetic,1,112,22,0.196428571428571,0.417280264720485,0.220851693291913,0.220851693291913
GTEx_v8_Lung,ME2P,GTEx_v8_Lung,1,280,21,0.075,0.373850455787447,0.298850455787447,0.298850455787447
GSE181540_HS_input,ME2P,GSE181540_HS_input,1,70,14,0.2,0.501703749083215,0.301703749083215,0.301703749083215
GSE181540_adjacent_NS_input,ME2P,GSE181540_adjacent_NS_input,1,76,25,0.328947368421053,0.481159507595557,0.152212139174504,0.152212139174504
GTEx_v8_Hippocampus,ME2P,GTEx_v8_Hippocampus,1,146,25,0.171232876712329,0.401009196865474,0.229776320153145,0.229776320153145
GSE114691_control_placenta,ME2P,GSE114691_control_placenta,1,228,8,0.0350877192982456,0.398809059634025,0.363721340335779,0.363721340335779
sperm_GroupI,ME2P,sperm_GroupI,1,276,5,0.0181159420289855,0.503872374878276,0.48575643284929,0.48575643284929
GSE132714_BPH,ME2P,GSE132714_BPH,1,280,128,0.457142857142857,0.369663414566604,-0.0874794425762532,0.0874794425762532
TCGA_PRAD_primary,ME2P,TCGA_PRAD_primary,1,281,129,0.459074733096086,0.391950849504884,-0.0671238835912015,0.0671238835912015
TCGA_LIHC_normal,ME2P,TCGA_LIHC_normal,1,134,69,0.514925373134328,0.389086381595295,-0.125838991539034,0.125838991539034
TCGA_LIHC_primary,ME2P,TCGA_LIHC_primary,1,186,88,0.473118279569893,0.396240826163513,-0.0768774534063793,0.0768774534063793
TCGA_ESCA_ESCC,ME2P,TCGA_ESCA_ESCC,1,288,82,0.284722222222222,0.400069662870966,0.115347440648744,0.115347440648744
MCF7_DMSO7d,ME2P,MCF7_DMSO7d,1,167,87,0.520958083832335,0.470663700919095,-0.05029438291324,0.05029438291324
MDAMB468_DMSO7d,ME2P,MDAMB468_DMSO7d,1,175,106,0.605714285714286,0.435534838910178,-0.170179446804108,0.170179446804108
GSE283812_T47D_vehicle,ME2P,GSE283812_T47D_vehicle,1,180,103,0.572222222222222,0.465363974853456,-0.106858247368766,0.106858247368766
