GroupID,Model,GroupID,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_30,MP,KLA31_30,GSE119834_NSC,15,307,164,0.534201954397394,0.373106793133775,-0.16109516126362,0.16109516126362
KLA31_24,MP,KLA31_24,RKO_DMSO,16,193,90,0.466321243523316,0.428456860498219,-0.0378643830250973,0.0378643830250973
KLA31_26,MP,KLA31_26,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.404839327411746,-0.0864498711945264,0.0864498711945264
KLA31_27,MP,KLA31_27,HK2_untreated,18,216,141,0.652777777777778,0.404976122949524,-0.247801654828254,0.247801654828254
KLA31_28,MP,KLA31_28,HK2_untreated,18,216,89,0.412037037037037,0.404976122949524,-0.0070609140875128,0.0070609140875128
KLA31_31,MP,KLA31_31,HUVEC_untreated,19,323,172,0.532507739938081,0.392227156332446,-0.140280583605635,0.140280583605635
KLA31_01,ME,KLA31_01,tendon_nondiabetic,1,112,22,0.196428571428571,0.402193258990388,0.205764687561816,0.205764687561816
KLA31_02,ME,KLA31_02,GTEx_v8_Lung,2,280,21,0.075,0.39556390999884,0.32056390999884,0.32056390999884
KLA31_03,ME,KLA31_03,GSE181540_HS_input,3,70,14,0.2,0.439224691183127,0.239224691183127,0.239224691183127
KLA31_04,ME,KLA31_04,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.44491179199432,0.115964423573267,0.115964423573267
KLA31_05,ME,KLA31_05,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.366469426962329,0.19523655025,0.19523655025
KLA31_06,ME,KLA31_06,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.380807206502197,0.345719487203952,0.345719487203952
KLA31_07,ME,KLA31_07,sperm_GroupI,6,276,5,0.0181159420289855,0.363003505202974,0.344887563173989,0.344887563173989
KLA31_08,ME,KLA31_08,GSE132714_BPH,7,280,128,0.457142857142857,0.39141054631188,-0.0657323108309771,0.0657323108309771
KLA31_11,ME,KLA31_11,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.385787713509219,-0.0732870195868661,0.0732870195868661
KLA31_09,ME,KLA31_09,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.350452749234513,-0.164472623899815,0.164472623899815
KLA31_12,ME,KLA31_12,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.365596109475396,-0.107522170094496,0.107522170094496
KLA31_10,ME,KLA31_10,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.403287546700429,0.118565324478207,0.118565324478207
KLA31_13,ME,KLA31_13,MCF7_DMSO7d,10,167,87,0.520958083832335,0.42295695205798,-0.098001131774355,0.098001131774355
KLA31_20,ME,KLA31_20,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.423304489109089,-0.182409796605197,0.182409796605197
KLA31_21,ME,KLA31_21,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.442878193277432,-0.12934402894479,0.12934402894479
KLA31_29,ME,KLA31_29,GSE103520_MCF10A_control,10,155,62,0.4,0.329716034942851,-0.0702839650571489,0.0702839650571489
KLA31_14,ME,KLA31_14,HCT116_control,11,205,27,0.131707317073171,0.472009825487302,0.340302508414131,0.340302508414131
KLA31_15,ME,KLA31_15,HCT116_control,11,205,52,0.253658536585366,0.472009825487302,0.218351288901936,0.218351288901936
KLA31_16,ME,KLA31_16,HCT116_control,11,323,224,0.693498452012384,0.44549410679479,-0.248004345217594,0.248004345217594
KLA31_17,ME,KLA31_17,GSE163787_TALL104,11,192,34,0.177083333333333,0.473097356949515,0.296014023616181,0.296014023616181
KLA31_25,ME,KLA31_25,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.469656927349067,0.327865882572948,0.327865882572948
KLA31_18,ME,KLA31_18,HepG2_DMSO24h,12,303,228,0.752475247524752,0.281941169938601,-0.470534077586151,0.470534077586151
KLA31_19,ME,KLA31_19,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.436498800289518,-0.0549297711390538,0.0549297711390538
KLA31_22,ME,KLA31_22,PC3M_DMSO,14,177,28,0.15819209039548,0.445015690017598,0.286823599622117,0.286823599622117
KLA31_23,ME,KLA31_23,GSE266884_MES28_vector_control,15,320,220,0.6875,0.385153954704355,-0.302346045295645,0.302346045295645
KLA31_30,ME,KLA31_30,GSE119834_NSC,15,307,164,0.534201954397394,0.301176453249499,-0.233025501147895,0.233025501147895
KLA31_24,ME,KLA31_24,RKO_DMSO,16,193,90,0.466321243523316,0.431902569524633,-0.034418673998683,0.034418673998683
KLA31_26,ME,KLA31_26,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.433620062596762,-0.0576691360095096,0.0576691360095096
KLA31_27,ME,KLA31_27,HK2_untreated,18,216,141,0.652777777777778,0.424559178348278,-0.2282185994295,0.2282185994295
KLA31_28,ME,KLA31_28,HK2_untreated,18,216,89,0.412037037037037,0.424559178348278,0.0125221413112404,0.0125221413112404
KLA31_31,ME,KLA31_31,HUVEC_untreated,19,323,172,0.532507739938081,0.393004094602597,-0.139503645335484,0.139503645335484
KLA31_01,ME2,KLA31_01,tendon_nondiabetic,1,112,22,0.196428571428571,0.381634658854686,0.185206087426115,0.185206087426115
KLA31_02,ME2,KLA31_02,GTEx_v8_Lung,2,280,21,0.075,0.373124093702166,0.298124093702166,0.298124093702166
KLA31_03,ME2,KLA31_03,GSE181540_HS_input,3,70,14,0.2,0.467278594720722,0.267278594720722,0.267278594720722
KLA31_04,ME2,KLA31_04,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.44985167276541,0.120904304344358,0.120904304344358
KLA31_05,ME2,KLA31_05,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.363093304675468,0.191860427963139,0.191860427963139
