"TimestampUTC"	"TaskID"	"Source"	"Accession"	"GroupIDs"	"SelectedSamples"	"SourceURL"	"RelativeTarget"	"State"	"Bytes"	"SHA256"	"Detail"
"2026-09-14 06:26:39 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/matrix/GSE114691_series_matrix.txt.gz"	"geo/GSE114691/metadata/GSE114691_series_matrix.txt.gz"	"complete"	"4266"	"2a7c799b027f0a5820d0acc469af60ac8f626fd4a1b18149ec44ccfd5b2dd7d9"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:26:56 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/suppl/GSE114691_MasterCount_ControlONLY.txt.gz"	"geo/GSE114691/supplement/GSE114691_MasterCount_ControlONLY.txt.gz"	"complete"	"4815302"	"3d429c4f8c4324cc5585f1a3dd85c36862b91eb6a6af1b89991f47b274ad020b"	"downloaded with wget continuation support"
"2026-09-14 06:27:03 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/suppl/GSE114691_MasterCount_IUGRONLY.txt.gz"	"geo/GSE114691/supplement/GSE114691_MasterCount_IUGRONLY.txt.gz"	"complete"	"4175152"	"64f97cc1b88733f72777af4a0c778e06f822afd0a48a5f437d5ae0f492bed9c9"	"downloaded with wget continuation support"
"2026-09-14 06:27:15 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/suppl/GSE114691_MasterCount_PEIUGR.txt.gz"	"geo/GSE114691/supplement/GSE114691_MasterCount_PEIUGR.txt.gz"	"complete"	"4511605"	"7df2e09365011d3757756620d8a8f7b8a28c261a2a6b8309311c464166acd3f3"	"downloaded with wget continuation support"
"2026-09-14 06:27:30 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/suppl/GSE114691_MasterCount_PEONLY.txt.gz"	"geo/GSE114691/supplement/GSE114691_MasterCount_PEONLY.txt.gz"	"complete"	"4503692"	"db15986421b41d4e534f49438aa87223bfac91286f9317051b35096aea937a88"	"downloaded with wget continuation support"
"2026-09-14 06:27:30 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/soft/GSE40181_family.soft.gz"	"geo/GSE40181/metadata/GSE40181_family.soft.gz"	"complete"	"3219"	"71fd3d658b464b5e2a561891b261817dc23ba1edf2890ceb8da98082c645f802"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:27:30 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/matrix/GSE40181_series_matrix.txt.gz"	"geo/GSE40181/metadata/GSE40181_series_matrix.txt.gz"	"complete"	"3115"	"c8570a4e3614b402e99d5815d77182807bff419f449f6e60a1e88dff5ccf7114"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:27:34 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/suppl/GSE40181_D1D2_DefinedRegionsScanSeq_refFlat_Results_RPKMgrthn0.4.txt.gz"	"geo/GSE40181/supplement/GSE40181_D1D2_DefinedRegionsScanSeq_refFlat_Results_RPKMgrthn0.4.txt.gz"	"complete"	"157302"	"27673b2ad3680070dc5a000c62bdefcb89c67a6cd0712e2026532664b1c18ff3"	"downloaded with wget continuation support"
"2026-09-14 06:27:36 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/suppl/GSE40181_Donor1_DRSS_miRNA_drssResults.txt.gz"	"geo/GSE40181/supplement/GSE40181_Donor1_DRSS_miRNA_drssResults.txt.gz"	"complete"	"23694"	"87efa302b177441866843591fd58248a270c260d15d18b61fbdc20a25387405d"	"downloaded with wget continuation support"
"2026-09-14 06:27:43 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/suppl/GSE40181_Donor1_DRSS_piRNAs_drssResults.txt.gz"	"geo/GSE40181/supplement/GSE40181_Donor1_DRSS_piRNAs_drssResults.txt.gz"	"complete"	"589064"	"e6a0e1f610fe08e556eaf029ee6214c0fe8f17a240d7d5da82926829db1c65a9"	"downloaded with wget continuation support"
