TaskID	Source	Accession	GroupIDs	SelectedSamples	RelativeTarget	State	Bytes	SHA256	Detail
GEO_GSE236746	GEO	GSE236746	KLA31_01	GSM7574837;GSM7574838;GSM7574839	geo/GSE236746/metadata/GSE236746_series_matrix.txt.gz	complete	2712	ae366878878cd78d57af82573bc074e7a59948007699938d075a82f020e0f597	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE236746	GEO	GSE236746	KLA31_01	GSM7574837;GSM7574838;GSM7574839	geo/GSE236746/supplement/GSE236746_mRNA.FPKM.txt.gz	complete	2896801	f82dd152c5a8dee7033cfeb0156f845c9c1dd790e5deda102c1c4bb6c1ecd42d	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE236746	GEO	GSE236746	KLA31_01	GSM7574837;GSM7574838;GSM7574839	geo/GSE236746/supplement_listing	listed_no_whitelisted_matrix			No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue.
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531	geo/GSE266884/metadata/GSE266884_family.soft.gz	complete	2966	58a1c67c89baaae6d8c978748d5a1b53030c0559e68da28a54a1dfab99bbc1c8	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531	geo/GSE266884/metadata/GSE266884_series_matrix.txt.gz	complete	2697	82e9adf6458b4359da3499773326e6b299460bd82ed86599c73146c8503cc5f7	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531	geo/GSE266884/supplement/GSE266884_MES28_KU70_WT_MU_core_table_gene.txt.gz	complete	60968231	f16952b64ee9a18b14bce6599f1e96089646361ceafcb2c924731f5189b745eb	downloaded with wget continuation support
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531	geo/GSE266884/supplement/GSE266884_MES28_KU70_core_table_gene.txt.gz	complete	62194348	6bf988a40fa26b5ea6216e6b253ba3d50195612749a0591a166361158cacbf26	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531	geo/GSE266884/supplement/GSE266884_MES28_MCT1_core_table_gene.txt.gz	complete	62413503	f9deefd2c9bc00452e02a1fe7bd8d77cafb3117bf7ea55983c49926ed0bbd7ce	downloaded with wget continuation support
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531	geo/GSE266884/supplement_listing	listed_no_whitelisted_matrix			No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue.
GEO_GSE269418	GEO	GSE269418	KLA31_27;KLA31_28	GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297	geo/GSE269418/metadata/GSE269418_family.soft.gz	complete	3711	89777280139b9bd4a3d25f0cfa5538a52e4c9acb62780e58a1954549b8f8718a	downloaded with wget continuation support
GEO_GSE269418	GEO	GSE269418	KLA31_27;KLA31_28	GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297	geo/GSE269418/metadata/GSE269418_series_matrix.txt.gz	complete	3507	8c0f821396f0debd2061fff4fb10370630ac2aa28e8c15dd0998c2dc78ec0c17	downloaded with wget continuation support
GEO_GSE269418	GEO	GSE269418	KLA31_27;KLA31_28	GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297	geo/GSE269418/supplement/GSE269418_raw_counts.txt.gz	complete	2045783	d3db7a1cab7b16b4bc4cbc98f7585363af409d63e911105953a3249ca8a1dd42	downloaded with wget continuation support
GEO_GSE275256	GEO	GSE275256	KLA31_26	GSM8473662;GSM8473663;GSM8473664	geo/GSE275256/metadata/GSE275256_family.soft.gz	complete	4058	aa4bc2017462e7bf31462358cc99cdfbb83c662cbe6db61d761ef0b9ef3c1466	downloaded with wget continuation support
GEO_GSE275256	GEO	GSE275256	KLA31_26	GSM8473662;GSM8473663;GSM8473664	geo/GSE275256/metadata/GSE275256_series_matrix.txt.gz	complete	3847	b668001aea8d7fde8c83fae564020bc6bc524ffce97c6316500e15f5dc467a56	downloaded with wget continuation support
GEO_GSE275256	GEO	GSE275256	KLA31_26	GSM8473662;GSM8473663;GSM8473664	geo/GSE275256/supplement/GSE275256_summary_star_genes_readcount.stranded.annotated.tsv.gz	complete	1808144	865ff843ef7bac676a1b8e44ae1c6d297147d0d48e3dae652844782ec9d94c96	downloaded with wget continuation support
GEO_GSE275256	GEO	GSE275256	KLA31_26	GSM8473662;GSM8473663;GSM8473664	geo/GSE275256/supplement/GSE275256_summary_star_genes_tpm.stranded.annotated.tsv.gz	complete	2389937	a7f33c29c8aa6cd1bbfaeea54136ad07c25ba4e023bbbd156a4b09d079cc655c	downloaded with wget continuation support
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/metadata/GSE40181_family.soft.gz	complete	3219	71fd3d658b464b5e2a561891b261817dc23ba1edf2890ceb8da98082c645f802	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/metadata/GSE40181_series_matrix.txt.gz	complete	3115	c8570a4e3614b402e99d5815d77182807bff419f449f6e60a1e88dff5ccf7114	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_D1D2_DefinedRegionsScanSeq_refFlat_Results_RPKMgrthn0.4.txt.gz	complete	157302	27673b2ad3680070dc5a000c62bdefcb89c67a6cd0712e2026532664b1c18ff3	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_Donor1_DRSS_miRNA_drssResults.txt.gz	complete	23694	87efa302b177441866843591fd58248a270c260d15d18b61fbdc20a25387405d	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_Donor1_DRSS_piRNAs_drssResults.txt.gz	complete	589064	e6a0e1f610fe08e556eaf029ee6214c0fe8f17a240d7d5da82926829db1c65a9	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_Donor1_DRSS_refseq_drssResults.txt.gz	complete	845479	c3befe12a58773a83d18d806dd62e6705458f22fac92f965439e1004b9852dd1	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_Donor2_DRSS_miRNAs_drssResults.txt.gz	complete	22483	5f3da1f7abfb215e27fb4a95a84422c64f8ec2097de156962355dc85669a6425	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_Donor2_DRSS_piRNAs_drssResults.txt.gz	complete	516150	be33d491e91d001eb2ad5cd75ec520623b93f8a60dedcc1c14aacd9097f44ba3	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement/GSE40181_Donor2_DRSS_refseq_drssResults.txt.gz	complete	829465	c16557931ef8bb91034dddece5915962e8e43c905dee450404779d8cab1a88c9	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943	geo/GSE40181/supplement_listing	listed_no_whitelisted_matrix			No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue.
GTEX_V8_GENE_READS	GTEx_v8	GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_reads	KLA31_02;KLA31_05	Lung;Brain - Hippocampus	gtex_v8/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_reads.gct.gz	complete	917091994	148ab1c84609608a00772b0e1431a1f87d5bf40b63071997510181d0a684a110	downloaded with wget continuation support
GTEX_V8_GENE_TPM	GTEx_v8	GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm	KLA31_02;KLA31_05	Lung;Brain - Hippocampus	gtex_v8/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm.gct.gz	complete	1625807147	ec783825ebebb8ba8525b73cb7ff9577162bc0d2e8a7fdc408283b7639c306fb	downloaded with wget continuation support
GTEX_V8_SAMPLE_ATTRIBUTES	GTEx_v8	GTEx_Analysis_v8_Annotations_SampleAttributesDS	KLA31_02;KLA31_05	metadata	gtex_v8/GTEx_Analysis_v8_Annotations_SampleAttributesDS.txt	complete	11512258	74f6ab4c34ed2648d708a0ae6e6dff324f6c86ea723ae7d1c37d76f5221148f0	downloaded with wget continuation support
GTEX_V8_SUBJECT_PHENOTYPES	GTEx_v8	GTEx_Analysis_v8_Annotations_SubjectPhenotypesDS	KLA31_02;KLA31_05	metadata	gtex_v8/GTEx_Analysis_v8_Annotations_SubjectPhenotypesDS.txt	complete	20271	821bdaff39e7a9a1d166919b3c786724c2b79c2861aeb936a2537a0f59b066f7	downloaded with wget continuation support
