EnsemblProteinID	MappingSource	MappingDate
ENSP00000345881	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000346046	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000346585	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000346846	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347020	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347217	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347271	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347325	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347401	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347416	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347581	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000347889	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000348397	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000348551	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000348685	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000348795	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349336	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349393	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349620	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349856	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349932	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349960	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000349985	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000350018	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000350294	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000350813	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351101	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351124	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351172	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351401	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351438	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351546	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000351892	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000352026	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000352336	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000352392	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000352593	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000352834	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000353154	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000353820	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000353878	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354219	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354238	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354445	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354487	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354519	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354588	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000354656	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355086	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355153	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355205	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355406	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355636	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355668	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355677	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355741	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000355846	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356052	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356071	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356187	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356243	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356272	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356284	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356286	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356297	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356870	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356901	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000356946	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000357068	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000357550	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000357555	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000357650	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000357795	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358062	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358076	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358126	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358229	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358245	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358256	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358326	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358390	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358391	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358828	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358863	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000358998	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359203	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359293	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359404	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359405	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359478	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359609	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359612	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359716	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000359936	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360149	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360312	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360495	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360537	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360828	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360843	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000360990	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000361079	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000361252	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000361425	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000361465	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000361704	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
