PXD,Area,RelativePath,CurrentPath,FileName,Extension,SizeBytes
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/tables.pdf,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/tables.pdf,tables.pdf,.pdf,69225
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP.zip,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP.zip,MCF7_Rotenone_SILAC_Kla_IP.zip,.zip,2195131
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/DDR_intersect.csv,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/DDR_intersect.csv,DDR_intersect.csv,.csv,584
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Kla_to_UniProt.csv,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Kla_to_UniProt.csv,Kla_to_UniProt.csv,.csv,5854
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt,Lactyl (K)Sites.txt,.txt,179517
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Oxidation (M)Sites.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Oxidation (M)Sites.txt,Oxidation (M)Sites.txt,.txt,16458
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/aifMsms.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/aifMsms.txt,aifMsms.txt,.txt,0
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/allPeptides.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/allPeptides.txt,allPeptides.txt,.txt,1671636
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/evidence.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/evidence.txt,evidence.txt,.txt,360985
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/modificationSpecificPeptides.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/modificationSpecificPeptides.txt,modificationSpecificPeptides.txt,.txt,140152
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/monoMethyl(K)Sites.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/monoMethyl(K)Sites.txt,monoMethyl(K)Sites.txt,.txt,65481
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/msScans.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/msScans.txt,msScans.txt,.txt,1339643
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/msms.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/msms.txt,msms.txt,.txt,823957
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/msmsScans.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/msmsScans.txt,msmsScans.txt,.txt,2083903
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/mzRange.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/mzRange.txt,mzRange.txt,.txt,111974
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/parameters.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/parameters.txt,parameters.txt,.txt,1792
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/peptides.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/peptides.txt,peptides.txt,.txt,111550
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/proteinGroups.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/proteinGroups.txt,proteinGroups.txt,.txt,109982
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/simPeptides.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/simPeptides.txt,simPeptides.txt,.txt,0
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/simScans.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/simScans.txt,simScans.txt,.txt,0
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/summary.txt,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/summary.txt,summary.txt,.txt,1970
PXD014870,search_results,search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/tables.pdf,data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/tables.pdf,tables.pdf,.pdf,55573
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP.zip,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP.zip,MCF7_U_13C6_Glucose_Kla_IP.zip,.zip,5516078
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/A1 (Kac_13C1)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/A1 (Kac_13C1)Sites.txt,A1 (Kac_13C1)Sites.txt,.txt,9256
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/A2 (Kac_13C2)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/A2 (Kac_13C2)Sites.txt,A2 (Kac_13C2)Sites.txt,.txt,23642
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Ac (13C3-Ala)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Ac (13C3-Ala)Sites.txt,Ac (13C3-Ala)Sites.txt,.txt,206614
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Acetyl (K)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Acetyl (K)Sites.txt,Acetyl (K)Sites.txt,.txt,15200
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/DDR_intersect.csv,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/DDR_intersect.csv,DDR_intersect.csv,.csv,127
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Kla_to_UniProt.csv,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Kla_to_UniProt.csv,Kla_to_UniProt.csv,.csv,1009
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/L3lac (K-3C13)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/L3lac (K-3C13)Sites.txt,L3lac (K-3C13)Sites.txt,.txt,126368
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Lactyl (K)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Lactyl (K)Sites.txt,Lactyl (K)Sites.txt,.txt,21385
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Oxidation (M)Sites.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Oxidation (M)Sites.txt,Oxidation (M)Sites.txt,.txt,6063
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/aifMsms.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/aifMsms.txt,aifMsms.txt,.txt,0
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/allPeptides.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/allPeptides.txt,allPeptides.txt,.txt,10602862
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/evidence.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/evidence.txt,evidence.txt,.txt,322735
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/modificationSpecificPeptides.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/modificationSpecificPeptides.txt,modificationSpecificPeptides.txt,.txt,127356
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/msScans.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/msScans.txt,msScans.txt,.txt,1492498
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/msms.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/msms.txt,msms.txt,.txt,1201285
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/msmsScans.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/msmsScans.txt,msmsScans.txt,.txt,2861223
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/mzRange.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/mzRange.txt,mzRange.txt,.txt,107902
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/parameters.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/parameters.txt,parameters.txt,.txt,1882
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/peptides.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/peptides.txt,peptides.txt,.txt,93306
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/proteinGroups.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/proteinGroups.txt,proteinGroups.txt,.txt,121612
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/simPeptides.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/simPeptides.txt,simPeptides.txt,.txt,0
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/simScans.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/simScans.txt,simScans.txt,.txt,0
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/summary.txt,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/summary.txt,summary.txt,.txt,1547
PXD014870,search_results,search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/tables.pdf,data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/tables.pdf,tables.pdf,.pdf,67278
PXD028488,metadata,metadata/articles/2022_cyclic_immonium.pdf,data/PXD028488/metadata/articles/2022_cyclic_immonium.pdf,2022_cyclic_immonium.pdf,.pdf,2129121
PXD028488,search_results,search_results/Enrichment-Search files.zip,data/PXD028488/search_results/Enrichment-Search files.zip,Enrichment-Search files.zip,.zip,25386186
PXD028488,search_results,search_results/Enrichment-Search files/BV2-Enrichment-Search files/DB search psm.csv,data/PXD028488/search_results/Enrichment-Search files/BV2-Enrichment-Search files/DB search psm.csv,DB search psm.csv,.csv,27282
PXD028488,search_results,search_results/Enrichment-Search files/BV2-Enrichment-Search files/PSM ions.csv,data/PXD028488/search_results/Enrichment-Search files/BV2-Enrichment-Search files/PSM ions.csv,PSM ions.csv,.csv,433693
PXD028488,search_results,search_results/Enrichment-Search files/BV2-Enrichment-Search files/protein-peptides.csv,data/PXD028488/search_results/Enrichment-Search files/BV2-Enrichment-Search files/protein-peptides.csv,protein-peptides.csv,.csv,1080941
PXD028488,search_results,search_results/Enrichment-Search files/BV2-Enrichment-Search files/proteins.csv,data/PXD028488/search_results/Enrichment-Search files/BV2-Enrichment-Search files/proteins.csv,proteins.csv,.csv,217578
PXD028488,search_results,search_results/Enrichment-Search files/HCT116-Enrichment-Search files/DB search psm.csv,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/DB search psm.csv,DB search psm.csv,.csv,2085529
PXD028488,search_results,search_results/Enrichment-Search files/HCT116-Enrichment-Search files/PSM ions.csv,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/PSM ions.csv,PSM ions.csv,.csv,1990005
PXD028488,search_results,search_results/Enrichment-Search files/HCT116-Enrichment-Search files/PXD028488_HCT116-Enrichment-Search files_Kla_sites.csv,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/PXD028488_HCT116-Enrichment-Search files_Kla_sites.csv,PXD028488_HCT116-Enrichment-Search files_Kla_sites.csv,.csv,1719
PXD028488,search_results,search_results/Enrichment-Search files/HCT116-Enrichment-Search files/PXD028488_HCT116-Enrichment-Search files_Kla_sites_DDR_intersect.csv,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/PXD028488_HCT116-Enrichment-Search files_Kla_sites_DDR_intersect.csv,PXD028488_HCT116-Enrichment-Search files_Kla_sites_DDR_intersect.csv,.csv,621
PXD028488,search_results,search_results/Enrichment-Search files/HCT116-Enrichment-Search files/protein-peptides.csv,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/protein-peptides.csv,protein-peptides.csv,.csv,1924322
PXD028488,search_results,search_results/Enrichment-Search files/HCT116-Enrichment-Search files/proteins.csv,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/proteins.csv,proteins.csv,.csv,295645
PXD028488,search_results,search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/DB search psm.csv,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/DB search psm.csv,DB search psm.csv,.csv,50929
PXD028488,search_results,search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/PSM ions.csv,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/PSM ions.csv,PSM ions.csv,.csv,1126026
PXD028488,search_results,search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/protein-peptides.csv,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/protein-peptides.csv,protein-peptides.csv,.csv,1480211
PXD028488,search_results,search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/proteins.csv,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/proteins.csv,proteins.csv,.csv,237975
PXD028488,search_results,search_results/Enrichment-Search files/HEK293T-Enrichment-HCD28-Search files/DB search psm.csv,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD28-Search files/DB search psm.csv,DB search psm.csv,.csv,52203
PXD028488,search_results,search_results/Enrichment-Search files/HEK293T-Enrichment-HCD28-Search files/PSM ions.csv,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD28-Search files/PSM ions.csv,PSM ions.csv,.csv,1238290
