Model,ReferenceKey,Observed,Fitted,Lambda
BagDistribution,GSE203529_HEK293T_WT,5.68234746157429,20.695983984425,0.1
BagDistribution,GSE266884_MES28_vector_control,30.6185813231431,22.1617309395568,0.1
BagDistribution,GSE275256_HMC3_vehicle,20.8251793868232,18.4130793011488,0.1
BagDistribution,GSE283812_T47D_vehicle,26.5073947667804,22.9981296149089,0.1
BagDistribution,GTEx_v8_Hippocampus,12.9233804669517,18.5599785248724,0.1
BagDistribution,GTEx_v8_Lung,3.04256352160544,16.6170406781706,0.1
BagDistribution,HCT116_control,14.9924287272798,18.1286239622152,0.1
BagDistribution,HK2_untreated,25.4849908107004,18.7787674896744,0.1
BagDistribution,HUVEC_untreated,24.1981011034129,17.3557471004043,0.1
BagDistribution,HepG2_DMSO24h,33.5942114589486,20.1418382102018,0.1
BagDistribution,MCF7_DMSO7d,28.1703775411423,21.41121738762,0.1
BagDistribution,MDAMB468_DMSO7d,29.5478723404255,22.0271964518954,0.1
BagDistribution,PC3M_DMSO,3.92595353460057,18.4773758332609,0.1
BagDistribution,RKO_DMSO,28.65836791148,19.0132556714644,0.1
BagDistribution,TCGA_ESCA_ESCC,13.4974638129407,16.8665573068563,0.1
BagDistribution,TCGA_LIHC_normal,33.0510468125147,27.4359611699818,0.1
BagDistribution,TCGA_LIHC_primary,29.5296838858905,25.8876733333435,0.1
BagDistribution,TCGA_PRAD_primary,24.8445690601,19.6713562364377,0.1
BagDistribution,sperm_GroupI,2.13483146067416,16.1412288658384,0.1
BagDistribution,tendon_nondiabetic,12.14859437751,15.7289315128026,0.1
