OuterBlock,Model,Lambda,InnerSourceMAE,Selected
10,BagDistribution,100,8.59747278941769,FALSE
10,BagDistribution,10,8.58809450355503,FALSE
10,BagDistribution,1,8.49526654247567,FALSE
10,BagDistribution,0.1,7.97362818193954,TRUE
10,BagDistribution,0.01,9.5513324712294,FALSE
11,MaterialMedian,100,9.62453237468518,FALSE
11,MaterialMedian,10,9.66407290713615,FALSE
11,MaterialMedian,1,10.192980496987,FALSE
11,MaterialMedian,0.1,11.2403860587619,FALSE
11,MaterialMedian,0.01,9.17317293611725,TRUE
11,SampleUnweighted,100,10.1135475813613,FALSE
11,SampleUnweighted,10,9.74478071468976,FALSE
11,SampleUnweighted,1,10.2148610748502,FALSE
11,SampleUnweighted,0.1,10.0368007428567,FALSE
11,SampleUnweighted,0.01,9.25065915159759,TRUE
11,SampleMaterialBalanced,100,9.28204923163141,FALSE
11,SampleMaterialBalanced,10,8.78283273958952,TRUE
11,SampleMaterialBalanced,1,9.52068266959642,FALSE
11,SampleMaterialBalanced,0.1,11.0139907073283,FALSE
11,SampleMaterialBalanced,0.01,12.5275587264095,FALSE
11,SampleBalanced,100,9.63185197935077,FALSE
11,SampleBalanced,10,9.70939192270917,FALSE
11,SampleBalanced,1,9.39082474390962,TRUE
11,SampleBalanced,0.1,10.6351175165899,FALSE
11,SampleBalanced,0.01,10.8652623845714,FALSE
11,SampleBalanced128,100,9.79450146811962,TRUE
11,SampleBalanced128,10,9.88109365657929,FALSE
11,SampleBalanced128,1,10.9237915791915,FALSE
11,SampleBalanced128,0.1,11.9199085761482,FALSE
11,SampleBalanced128,0.01,12.7269400024298,FALSE
11,BagMean,100,9.63272005890204,FALSE
11,BagMean,10,9.73443602149418,FALSE
11,BagMean,1,9.77872045858834,FALSE
11,BagMean,0.1,11.1814870207953,FALSE
11,BagMean,0.01,7.69982757261726,TRUE
11,BagDistribution,100,9.59245988584839,TRUE
11,BagDistribution,10,9.6125869347442,FALSE
11,BagDistribution,1,9.74086006544286,FALSE
11,BagDistribution,0.1,9.61337550218633,FALSE
11,BagDistribution,0.01,10.6651135816541,FALSE
12,MaterialMedian,100,9.9845370705783,FALSE
12,MaterialMedian,10,9.87384158594794,TRUE
12,MaterialMedian,1,10.5780970232885,FALSE
12,MaterialMedian,0.1,12.7267044752103,FALSE
12,MaterialMedian,0.01,11.9698671753567,FALSE
12,SampleUnweighted,100,10.4954564604373,FALSE
12,SampleUnweighted,10,10.1206790901574,FALSE
12,SampleUnweighted,1,10.4632506234134,FALSE
12,SampleUnweighted,0.1,10.3804478615895,FALSE
