PXD,SampleGroup,GroupID,SampleID,KlaExpressionMedian,ReferenceKey,GroupIDs,Category,ReferenceLabelEn,RowOrder,CategoryLabel
PXD036307,normal human lung,KLA31_02,GTEX-1339X-0626-SM-5IJER,4.20475513824996,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-133LE-0526-SM-5N9EJ,4.19005581130918,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1399S-1726-SM-5L3DI,4.20653285415193,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1399U-0826-SM-5KM1P,4.13897677036877,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-139T6-0426-SM-5IJEM,4.18196564934348,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-139TT-0726-SM-5K7XW,4.22393182781503,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-139UW-0226-SM-5K7WU,4.21802104564248,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-139YR-0926-SM-5LZYB,4.25127030817988,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13CF3-0426-SM-5IJEU,4.21281483034847,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13D11-0326-SM-5LZXX,4.22287291379939,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FH7-1726-SM-5IJE7,4.25721926095587,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FHO-1026-SM-5KM1Q,4.15728044410908,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FHP-0726-SM-5K7YI,4.17066406391796,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FLV-0426-SM-5KLZA,4.20035767445214,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FTX-0326-SM-5J2NG,4.16306112018996,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FTY-0126-SM-5J2NZ,4.15850635686298,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13FTZ-0526-SM-5IJCW,4.19359459439631,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13G51-0426-SM-5K7Z5,4.22009300692362,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13JUV-0526-SM-5K7XE,4.20000209703963,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13JVG-1426-SM-5MR4W,4.16602747501301,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13N11-0326-SM-5LUA3,4.1277994319618,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13N1W-0726-SM-5MR57,4.20301559263494,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13N2G-0826-SM-5IJE6,4.18898487868362,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13NYB-0626-SM-5MR47,4.18512678114104,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13NYS-1626-SM-5J2MU,4.15797964683258,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13NZ8-0326-SM-5L3DF,4.19410733406594,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13NZ9-0926-SM-5KM12,4.13149519269541,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13NZA-1426-SM-5KM4Y,4.15071246322072,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13O21-3026-SM-5J2NI,4.18671451189005,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13O3O-0726-SM-5J1N7,4.2124650761225,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13O3P-1026-SM-5N9E7,4.18723343316471,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13O3Q-0526-SM-5KM18,4.18249299799029,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13O61-0726-SM-5J2MD,4.19788958586583,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OVG-0326-SM-5KM57,4.21212585586519,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OVH-1026-SM-5J2NP,4.18988721307223,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OVJ-0726-SM-5KM1W,4.25231216960141,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OVL-0626-SM-5KM13,4.18425472622825,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OW5-0726-SM-5KLZK,4.17623789513734,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OW6-0826-SM-5L3GA,4.28223746616706,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OW7-0926-SM-5L3EX,4.20881041670472,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13OW8-1726-SM-5L3GO,4.22009300692362,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13PL7-1726-SM-5J2NX,4.17430483058842,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13PVQ-0926-SM-5IJFD,4.17910674957034,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13QBU-0726-SM-5J2OA,4.27025123121723,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13QJ3-1026-SM-5QGQU,4.15157777730713,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13QJC-0526-SM-5RQKB,4.21663238091605,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13RTJ-1126-SM-5S2UJ,4.17274604235189,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13S7M-2126-SM-5S2QR,4.20722628230396,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13S86-0626-SM-5Q5E7,4.23131733460481,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13SLW-1226-SM-5S2Q7,4.21489297610558,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13U4I-1426-SM-5J2M3,4.13862853310486,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13VXT-1426-SM-5LU4B,4.21524124904212,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13VXU-2726-SM-5LU4N,4.22009477064813,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13W3W-0326-SM-731DS,4.21731760962945,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13X6K-1626-SM-7EWCX,4.19500435876776,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13YAN-1026-SM-5O9CF,4.20757316966846,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
