GroupID,PXD,SampleGroup,ReferenceKey,ConnGroup,Ensembl,UniProt,Symbol,RNA,ReferenceUniqueAccessions,ProteinDetected,KlaDetected
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000172840,Q9P2J9,PDP2,2.57985545374122,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000173599,P11498,PC,0.315250295959924,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000198814,P32189,GK,2.98628994931341,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000256870,Q8N695,SLC5A8,-1,2193,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000004799,Q16654,PDK4,3.00197431573237,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000005882,Q15119,PDK2,4.36386625995199,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000060762,Q9Y5U8,MPC1,4.64973983784927,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000063854,Q16775,HAGH,3.920355535954,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000067992,Q15120,PDK3,1.96476068839924,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000068976,P11217,PYGM,1.96058360859557,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000079739,P36871,PGM1,5.85832662864567,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000090861,P49588,AARS1,5.37335018430567,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000091140,P09622,DLD,5.87890171781293,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000100156,O95907,SLC16A8,-1,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000100504,P06737,PYGL,5.21412784898202,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000100889,Q16822,PCK2,4.02117089451703,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000100994,P11216,PYGB,6.87323715004487,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000111716,P07195,LDHB,6.19209181415261,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000115159,P43304,GPD2,4.94165472595151,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000118596,O60669,SLC16A7,3.72373648977607,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000124253,P35558,PCK1,-1,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000124608,Q5JTZ9,AARS2,4.78009135811747,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000124767,Q04760,GLO1,7.59327598513485,2205,1,1
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000130957,O00757,FBP2,-1,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000131069,Q9NR19,ACSS2,6.23521860822947,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000131482,P35575,G6PC1,-1,2205,0,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000131828,P08559,PDHA1,5.76184218455237,2205,1,0
KLA31_04,PXD046800,adjacent skin,GSE181540_adjacent_NS_input,3,ENSG00000134333,P00338,LDHA,8.21773818513146,2205,1,1
