Model,GroupID,Ensembl,ConnGroup,Observed,InSample,Heldout
Protein_depth,KLA31_03,ENSG00000134333,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000136872,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000138030,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000141349,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000141526,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000143158,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000148942,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000149476,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000150768,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000152256,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000155380,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000162688,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000163541,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000164951,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000165140,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000166123,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000166796,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000166816,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000167588,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000167701,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000168291,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000170571,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000172270,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000172340,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000172840,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000173599,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000198814,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000256870,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_04,ENSG00000004799,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000005882,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000060762,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000063854,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000067992,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000068976,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000079739,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000090861,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000091140,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000100156,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000100504,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000100889,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000100994,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000111716,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000115159,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000118596,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000124253,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000124608,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000124767,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000130957,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000131069,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000131482,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000131828,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000134333,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000136872,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000138030,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000141349,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000141526,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000143158,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000148942,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000149476,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000150768,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000152256,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000155380,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000162688,3,0,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000163541,3,1,0.364160999534222,0.359782774286185
Protein_depth,KLA31_04,ENSG00000164951,3,0,0.364160999534222,0.359782774286185
