UniProt,Term,AnnotationID,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation,Ensembl,Entrez,Symbol,Experimental,CommonMatrix
A0ACI8SLS1,GO:0006099,UniProtKB:A0ACI8SLS1!176044589,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,SUCLG1,FALSE,TRUE,ENSG00000163541,,SUCLG1,FALSE,TRUE
A0ACI8STE1,GO:0006096,UniProtKB:A0ACI8STE1!325448342,enables,GO:0003872,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,FALSE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8STE1,GO:0006096,UniProtKB:A0ACI8STE1!325448345,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,TRUE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8STI1,GO:0006096,UniProtKB:A0ACI8STI1!474795801,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8STI1,GO:0006096,UniProtKB:A0ACI8STI1!474795804,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8SWW7,GO:0006096,UniProtKB:A0ACI8SWW7!205922496,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOC,FALSE,TRUE,ENSG00000109107,,ALDOC,FALSE,TRUE
A0ACI8SWX2,GO:0006096,UniProtKB:A0ACI8SWX2!295575397,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOC,FALSE,TRUE,ENSG00000109107,,ALDOC,FALSE,TRUE
A0ACI8T1C3,GO:0006094,UniProtKB:A0ACI8T1C3!56573119,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,GAPDH,FALSE,TRUE,ENSG00000111640,,GAPDH,FALSE,TRUE
A0ACI8T1C6,GO:0006094,UniProtKB:A0ACI8T1C6!116327623,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,GAPDH,FALSE,TRUE,ENSG00000111640,,GAPDH,FALSE,TRUE
A0ACI8T1X5,GO:0006094,UniProtKB:A0ACI8T1X5!295575776,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,GAPDH,FALSE,TRUE,ENSG00000111640,,GAPDH,FALSE,TRUE
A0ACI8T335,GO:0006099,UniProtKB:A0ACI8T335!235812750,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,IDH3A,FALSE,TRUE,ENSG00000166411,,IDH3A,FALSE,TRUE
A0ACI8T6U9,GO:0006099,UniProtKB:A0ACI8T6U9!176046176,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ACO2,FALSE,TRUE,ENSG00000100412,,ACO2,FALSE,TRUE
A0ACI8T9Z1,GO:0006096,UniProtKB:A0ACI8T9Z1!235813344,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
A0ACI8TA21,GO:0006096,UniProtKB:A0ACI8TA21!146203904,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
A0ACI8TA25,GO:0006096,UniProtKB:A0ACI8TA25!56573696,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
A0ACI8TA42,GO:0006096,UniProtKB:A0ACI8TA42!176046430,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
A0ACI8TA53,GO:0006096,UniProtKB:A0ACI8TA53!86432268,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE,ENSG00000102144,,PGK1,FALSE,TRUE
