Term,AnnotationID,UniProt,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation
GO:0006096,UniProtKB:A0ACI8R4K5!205917757,A0ACI8R4K5,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8R4K5!205917759,A0ACI8R4K5,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8R5Y7!86426265,A0ACI8R5Y7,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8R5Y7!86426268,A0ACI8R5Y7,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RAZ0!355308795,A0ACI8RAZ0,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8RAZ0!355308798,A0ACI8RAZ0,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RC23!26684718,A0ACI8RC23,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKP,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8RC23!26684721,A0ACI8RC23,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKP,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8REJ0!385168244,A0ACI8REJ0,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOB,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RF15!56568624,A0ACI8RF15,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RFA7!444938605,A0ACI8RFA7,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,TPI1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RI56!385168535,A0ACI8RI56,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOB,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RLY7!176041880,A0ACI8RLY7,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,GPI,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RMX7!474792357,A0ACI8RMX7,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8RMX7!474792360,A0ACI8RMX7,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RPQ3!325445312,A0ACI8RPQ3,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8RPQ3!325445315,A0ACI8RPQ3,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RPU0!146199382,A0ACI8RPU0,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RT09!325445542,A0ACI8RT09,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8RT09!325445545,A0ACI8RT09,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RUW2!295572516,A0ACI8RUW2,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8RUW2!295572519,A0ACI8RUW2,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RVJ0!265708881,A0ACI8RVJ0,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8RZX5!56570083,A0ACI8RZX5,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,GPI,FALSE,TRUE
