Model,selected_lambda,Feature,Coefficient,ConnGroup
ME_P,1,z_mp,0.950013654646283,17
ME2P,1,(Intercept),-0.438126758671053,17
ME2P,1,z_target_expr,0.161097567552918,17
ME2P,1,z_mod,-0.142367895787148,17
ME2P,1,z_mp,0.944882431137089,17
XEN,1,(Intercept),-0.444616492963821,17
XEN,1,z_target_expr,0.335401385843806,17
XEN,1,z_mod,-0.173833927496904,17
XEN,1,z_ix,0.088489014981713,17
MP_cal,1,(Intercept),-0.473125136413649,18
MP_cal,1,z_mp,0.94652169211703,18
ME,1,(Intercept),-0.436552490618092,18
ME,1,z_target_expr,0.247096226058588,18
ME2,1,(Intercept),-0.436900033087433,18
ME2,1,z_target_expr,0.339565510635474,18
ME2,1,z_mod,-0.256028963331431,18
ME_P,1,(Intercept),-0.469301849186383,18
ME_P,1,z_target_expr,0.0993402255255125,18
ME_P,1,z_mp,0.928619760695693,18
ME2P,1,(Intercept),-0.466289150134261,18
ME2P,1,z_target_expr,0.188206049588481,18
ME2P,1,z_mod,-0.247624090485716,18
ME2P,1,z_mp,0.927359390294651,18
XEN,1,(Intercept),-0.459774209792359,18
XEN,1,z_target_expr,0.352315160406482,18
XEN,1,z_mod,-0.249565553222105,18
XEN,1,z_ix,0.0613184732525789,18
MP_cal,1,(Intercept),-0.465786581608357,19
MP_cal,1,z_mp,0.977212370350006,19
ME,1,(Intercept),-0.431087664001382,19
ME,1,z_target_expr,0.258034648622802,19
ME2,1,(Intercept),-0.422431572437288,19
ME2,1,z_target_expr,0.3305286786773,19
ME2,1,z_mod,-0.185982282489202,19
ME_P,1,(Intercept),-0.462839767706288,19
ME_P,1,z_target_expr,0.124626688634394,19
ME_P,1,z_mp,0.957497195682027,19
ME2P,1,(Intercept),-0.453423957838203,19
ME2P,1,z_target_expr,0.183979161548574,19
ME2P,1,z_mod,-0.151410802911644,19
ME2P,1,z_mp,0.951915624658728,19
XEN,1,(Intercept),-0.462565190802699,19
XEN,1,z_target_expr,0.348914798918647,19
XEN,1,z_mod,-0.182311889062056,19
XEN,1,z_ix,0.098308433601685,19
