ConnGroup,dropped_train_group,Model,N,Pos,AP_new,LogLoss_new,Brier_new,ROC_new,AP_orig,LogLoss_orig,Brier_orig,ROC_orig,diff_AP,diff_LogLoss,diff_Brier,diff_ROC
11,1,ME,1193,375,0.350259612236911,0.676400647922382,0.241725450773443,0.516050529747351,0.350259612236911,0.673712104555657,0.240397745157377,0.516050529747351,4.44089209850063e-16,0.00268854336672497,0.00132770561606618,2.22044604925031e-16
12,1,ME,303,228,0.715818859221255,1.05877410505076,0.41371766379789,0.417017543859649,0.715818859221255,1.06876699810025,0.417493346648271,0.417017543859649,0,-0.00999289304948614,-0.00377568285038155,1.11022302462516e-16
13,1,ME,175,86,0.63835468867811,0.680387707855009,0.243716617270389,0.644107656127515,0.63835468867811,0.680796975946184,0.243924795215392,0.644107656127515,-4.44089209850063e-16,-0.000409268091175252,-0.000208177945002969,0
14,1,ME,177,28,0.292554678123871,0.622155391133652,0.215055066916306,0.601629913710451,0.292554678123871,0.618400722438184,0.213233840573084,0.601629913710451,2.22044604925031e-16,0.00375466869546748,0.00182122634322207,-4.44089209850063e-16
15,1,ME,627,384,0.669255585186163,0.809576699094371,0.304551319840215,0.564021776406036,0.669255585186163,0.814288706532725,0.306578091278746,0.564021776406036,4.44089209850063e-16,-0.00471200743835387,-0.00202677143853125,-3.33066907387547e-16
16,1,ME,193,90,0.640295909123075,0.669881403709855,0.238536595180909,0.651887810140237,0.640295909123075,0.669980386717813,0.238594030734564,0.651887810140237,1.11022302462516e-16,-9.89830079579646e-05,-5.74355536546445e-05,3.33066907387547e-16
17,1,ME,287,141,0.609694672081817,0.685610923138714,0.246241293663101,0.603711260079666,0.609694672081817,0.686165327851417,0.246511418891886,0.603711260079666,-1.11022302462516e-16,-0.000554404712702628,-0.000270125228784668,-2.22044604925031e-16
18,1,ME,432,230,0.594957228523913,0.706724274555738,0.256728606736301,0.557942315970728,0.594957228523913,0.70803868332774,0.257369102329719,0.557942315970728,1.11022302462516e-16,-0.00131440877200228,-0.000640495593417834,-4.44089209850063e-16
19,1,ME,323,172,0.681281213672649,0.713250190655304,0.259704803863632,0.623556137378716,0.681281213672649,0.715103785672504,0.26058315021586,0.623556137378716,-5.55111512312578e-16,-0.00185359501720039,-0.000878346352228443,-4.44089209850063e-16
2,1,ME2,280,21,0.352545471617468,0.498834756686138,0.155534356545012,0.830299687442545,0.352545471617468,0.491282732588704,0.152078465671711,0.830299687442545,-3.88578058618805e-16,0.00755202409743427,0.00345589087330067,-4.44089209850063e-16
3,1,ME2,146,39,0.593847482483282,0.620634850183376,0.214277741169225,0.759645339084591,0.592728866204126,0.6184530143501,0.213230670529191,0.758686796069974,0.00111861627915566,0.00218183583327591,0.00104707064003398,0.000958543014617397
4,1,ME2,146,25,0.270445997467497,0.54399744134877,0.177594557514639,0.625454545454546,0.270445997467497,0.540584948625043,0.17604778020966,0.625454545454546,4.44089209850063e-16,0.0034124927237269,0.00154677730497882,-5.55111512312578e-16
5,1,ME2,228,8,0.14653932334428,0.512411482279757,0.161570337587034,0.817045454545455,0.14653932334428,0.507117749719337,0.159096491810122,0.817045454545455,2.4980018054066e-16,0.00529373256041987,0.00247384577691237,-4.44089209850063e-16
6,1,ME2,276,5,0.0694705677464298,0.704678351797678,0.255652989606221,0.677490774907749,0.0694705677464298,0.703641510717045,0.255132505284508,0.677490774907749,1.38777878078145e-17,0.00103684108063284,0.000520484321712589,1.11022302462516e-16
7,1,ME2,561,257,0.609232936796983,0.677191115194159,0.242138891650627,0.639642637722711,0.608737917037293,0.677741097182295,0.242403290295357,0.639169055908253,0.000495019759689463,-0.000549981988136383,-0.00026439864473024,0.000473581814458446
8,1,ME2,320,157,0.545052416424332,0.716674484712524,0.260929438619795,0.556445625415185,0.544987720680913,0.718399054665175,0.26169087372583,0.556484701652925,6.46957434193851e-05,-0.00172456995265147,-0.000761435106034658,-3.90762377399101e-05
9,1,ME2,288,82,0.534064545668899,0.596398417414221,0.202919247538218,0.727563343594601,0.534064545668899,0.593989620109714,0.201820033759654,0.727563343594601,2.22044604925031e-16,0.00240879730450727,0.00109921377856428,0
