ReferenceKey,Ensembl,QsmoothA,UnsmoothedLog2TPM,Symbol,GroupID,Samples,SharedReference,RowOrder,PXD,SampleGroup,Category,KlaLabelEn,RNALabel,PlotLabel,GeneZ
GSE103520_MCF10A_control,ENSG00000143627,-0.974265093929802,-0.974265093929802,PKLR,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.543548425914686
GSE103520_MCF10A_control,ENSG00000146701,4.82561880937135,4.82561880937135,MDH2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.30502172601156
GSE103520_MCF10A_control,ENSG00000148942,-0.994577652263744,-0.994577652263744,SLC5A12,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.550804690895761
GSE103520_MCF10A_control,ENSG00000149476,1.05638422723598,1.05638422723598,TKFC,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.93185221775585
GSE103520_MCF10A_control,ENSG00000149925,6.17054684762853,6.17054684762853,ALDOA,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.221819280559218
GSE103520_MCF10A_control,ENSG00000150768,3.01349910687565,3.01349910687565,DLAT,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.93736450405439
GSE103520_MCF10A_control,ENSG00000152254,-0.999999962210558,-1,G6PC2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.425596528707935
GSE103520_MCF10A_control,ENSG00000152256,1.60885153735566,1.60885153735566,PDK1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.786229520968732
GSE103520_MCF10A_control,ENSG00000152556,2.35328631250814,2.35328631250814,PFKM,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.07762796856598
GSE103520_MCF10A_control,ENSG00000154079,0.306680102076537,0.306680102076537,SDHAF4,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.48567147488643
GSE103520_MCF10A_control,ENSG00000155380,4.1339644129454,4.1339644129454,SLC16A1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.659464202063036
GSE103520_MCF10A_control,ENSG00000156510,-0.981901527814368,-0.981901527814368,HKDC1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.698415102199247
GSE103520_MCF10A_control,ENSG00000156515,2.61783126903144,2.61783126903144,HK1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.56472757917233
GSE103520_MCF10A_control,ENSG00000158571,-0.765643438702515,-0.765643438702515,PFKFB1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.887776180664428
GSE103520_MCF10A_control,ENSG00000159322,1.8917661497647,1.8917661497647,ADPGK,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.21671030346335
GSE103520_MCF10A_control,ENSG00000159399,3.40411946493811,3.40411946493811,HK2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.559697183821814
GSE103520_MCF10A_control,ENSG00000160741,2.25423019106924,2.25423019106924,CRTC2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.89384937514646
