Ensembl,ReferenceKey,SampleN,MedianB,Q25,Q75,Min,Max
ENSG00000134333,GSE103520_MCF10A_control,3,8.21957953786848,8.20596839677839,8.22868482198049,8.19235725568829,8.2377901060925
ENSG00000135094,GSE103520_MCF10A_control,3,-0.819717084439035,-0.853863920892437,-0.756340176293869,-0.888010757345838,-0.692963268148702
ENSG00000136143,GSE103520_MCF10A_control,3,3.0962558380288,3.08093704875762,3.1302352011943,3.06561825948643,3.16421456435979
ENSG00000136872,GSE103520_MCF10A_control,3,-0.517458580866216,-0.66235892225762,-0.0523509406282795,-0.807259263649023,0.412756699609657
ENSG00000137700,GSE103520_MCF10A_control,3,1.6671494076806,1.5577410277673,1.71557083849427,1.448332647854,1.76399226930793
ENSG00000138030,GSE103520_MCF10A_control,3,0.586764655431526,0.538754371457258,0.859271966068998,0.49074408748299,1.13177927670647
ENSG00000138207,GSE103520_MCF10A_control,3,-0.959677785773435,-0.97012003145544,-0.885926787026826,-0.980562277137445,-0.812175788280216
ENSG00000138400,GSE103520_MCF10A_control,3,-0.417254113582993,-0.459985436206712,-0.188944062677306,-0.50271675883043,0.0393659882283817
ENSG00000138413,GSE103520_MCF10A_control,3,3.84888285086933,3.68408925676024,3.87639043946173,3.51929566265115,3.90389802805413
ENSG00000141349,GSE103520_MCF10A_control,3,3.58297493721119,3.58011312920996,3.65742072637215,3.57725132120872,3.73186651553311
ENSG00000141526,GSE103520_MCF10A_control,3,1.78938235446838,1.71153429566844,1.81596407037045,1.63368623686849,1.84254578627251
ENSG00000141959,GSE103520_MCF10A_control,3,1.38230110388799,1.30312224249652,1.4629007919255,1.22394338110504,1.54350047996301
ENSG00000143158,GSE103520_MCF10A_control,3,4.68698169416333,4.61310242036224,4.69925265099513,4.53922314656115,4.71152360782692
ENSG00000143252,GSE103520_MCF10A_control,3,4.89782361016814,4.84366936433508,4.9154949901806,4.78951511850202,4.93316637019306
