Model,Candidate,Intercept,Slope,Gradient,UnseenRate,Dropped,Test
SHRINK_CAL,row_8,-0.0790732180293625,1.17973711524408,2.63885762585953e-07,0,10,5
SHRINK,group_2,0,1,,0.0072463768115942,10,6
SHRINK_CAL,row_8,-0.0901719668366557,1.18128116583487,4.25908358538707e-07,0.0072463768115942,10,6
SHRINK,group_2,0,1,,0,10,7
SHRINK_CAL,row_8,-0.0524577778590325,1.18223435536008,1.34690548935824e-06,0,10,7
SHRINK,group_2,0,1,,0,10,8
SHRINK_CAL,row_8,-0.0718101011699345,1.18052258782488,3.31664556103262e-06,0,10,8
SHRINK,group_2,0,1,,0,10,9
SHRINK_CAL,row_8,-0.0902987122161994,1.14897168269525,2.9350368931614e-06,0,10,9
SHRINK,group_2,0,1,,0.00167644593461861,10,11
SHRINK_CAL,original,-0.412621457997049,0.840387563943416,2.08165100304761e-09,0.00167644593461861,10,11
SHRINK,group_2,0,1,,0,10,12
SHRINK_CAL,group_2,-0.198852222946503,0.87098835311284,2.05209147331005e-06,0,10,12
SHRINK,group_2,0,1,,0,10,13
SHRINK_CAL,row_8,-0.140713734142177,1.05474974208324,2.58908149639936e-06,0,10,13
SHRINK,group_2,0,1,,0,10,14
SHRINK_CAL,row_8,-0.0767709203175903,1.16612402941108,7.65249027671541e-07,0,10,14
SHRINK,group_2,0,1,,0.00318979266347687,10,15
SHRINK_CAL,row_8,-0.0462195336909977,1.19893565054466,1.96410389480015e-06,0.00318979266347687,10,15
SHRINK,row_8,0,1,,0,10,16
SHRINK_CAL,row_8,-0.0989208336822062,1.16983080160776,5.13610945431832e-06,0,10,16
SHRINK,row_8,0,1,,0,10,17
SHRINK_CAL,row_8,-0.103498252119837,1.15982190093282,7.82923750938976e-07,0,10,17
SHRINK,row_8,0,1,,0,10,18
SHRINK_CAL,row_8,-0.0763091137115394,1.18521265541016,5.07062028958099e-06,0,10,18
SHRINK,row_8,0,1,,0.00619195046439629,10,19
SHRINK_CAL,row_8,-0.0841695425400797,1.19509178985492,4.4779606115473e-06,0.00619195046439629,10,19
SHRINK,group_2,0,1,,0,11,1
SHRINK_CAL,row_8,-0.178992610936053,1.1790979823827,3.07299274887786e-07,0,11,1
SHRINK,group_2,0,1,,0.00357142857142857,11,2
SHRINK_CAL,row_8,-0.193267509664899,1.19602102695972,3.82733817963152e-08,0.00357142857142857,11,2
SHRINK,group_2,0,1,,0,11,3
SHRINK_CAL,original,-0.401264370036461,0.861127957930038,7.20047618370855e-07,0,11,3
SHRINK,group_2,0,1,,0,11,4
SHRINK_CAL,row_8,-0.169870493072741,1.20307097336458,2.28318728534639e-07,0,11,4
SHRINK,group_2,0,1,,0,11,5
SHRINK_CAL,row_8,-0.178975830970276,1.20949515704015,2.90832814888245e-08,0,11,5
SHRINK,group_2,0,1,,0.0108695652173913,11,6
SHRINK_CAL,original,-0.408114489057862,0.843495374067312,2.45638102143887e-11,0.0108695652173913,11,6
SHRINK,group_2,0,1,,0,11,7
SHRINK_CAL,original,-0.413607910404857,0.855042908225932,4.07851584418913e-06,0,11,7
SHRINK,group_2,0,1,,0,11,8
SHRINK_CAL,original,-0.428147967798889,0.857144145831847,2.18520528889952e-06,0,11,8
SHRINK,group_2,0,1,,0,11,9
