ConnGroup,LogLoss,Model,Candidate,InnerFold,OuterGroup
9,0.57841696244616,SHRINK,row_2,3,1
14,0.591194497878282,SHRINK,row_2,3,1
5,0.600397620775175,SHRINK_CAL,row_2,3,1
6,0.604608336561757,SHRINK_CAL,row_2,3,1
9,0.556440471842241,SHRINK_CAL,row_2,3,1
14,0.539262047973385,SHRINK_CAL,row_2,3,1
2,0.499612099587371,SHRINK,row_2,4,1
3,0.597936796247049,SHRINK,row_2,4,1
10,0.448129185833632,SHRINK,row_2,4,1
2,0.457794615779996,SHRINK_CAL,row_2,4,1
3,0.547822650702663,SHRINK_CAL,row_2,4,1
10,0.515006062518145,SHRINK_CAL,row_2,4,1
11,0.606185734151383,SHRINK,row_2,5,1
16,0.570204867544933,SHRINK,row_2,5,1
17,0.457684225772542,SHRINK,row_2,5,1
11,0.567348449972748,SHRINK_CAL,row_2,5,1
16,0.586731596223755,SHRINK_CAL,row_2,5,1
17,0.519232087702208,SHRINK_CAL,row_2,5,1
4,0.526218280399857,SHRINK,row_8,1,1
8,0.578767177535052,SHRINK,row_8,1,1
12,0.815906710164046,SHRINK,row_8,1,1
13,0.509851162365973,SHRINK,row_8,1,1
4,0.500674042415346,SHRINK_CAL,row_8,1,1
8,0.595678941891283,SHRINK_CAL,row_8,1,1
12,0.905382864677473,SHRINK_CAL,row_8,1,1
13,0.510890821870348,SHRINK_CAL,row_8,1,1
7,0.589233819744309,SHRINK,row_8,2,1
15,0.736342909484008,SHRINK,row_8,2,1
18,0.592580410457305,SHRINK,row_8,2,1
19,0.66030729831332,SHRINK,row_8,2,1
7,0.621356103318281,SHRINK_CAL,row_8,2,1
15,0.781975889717373,SHRINK_CAL,row_8,2,1
18,0.64022032576339,SHRINK_CAL,row_8,2,1
19,0.699213259466907,SHRINK_CAL,row_8,2,1
5,0.647203812662316,SHRINK,row_8,3,1
6,0.651526932598816,SHRINK,row_8,3,1
9,0.568071206675413,SHRINK,row_8,3,1
14,0.573395022008121,SHRINK,row_8,3,1
5,0.606897533288435,SHRINK_CAL,row_8,3,1
6,0.610243380962307,SHRINK_CAL,row_8,3,1
9,0.553344925271709,SHRINK_CAL,row_8,3,1
14,0.543392453741344,SHRINK_CAL,row_8,3,1
2,0.492966857209245,SHRINK,row_8,4,1
3,0.569910525081412,SHRINK,row_8,4,1
10,0.491777911916336,SHRINK,row_8,4,1
2,0.460185017586486,SHRINK_CAL,row_8,4,1
3,0.549439956488378,SHRINK_CAL,row_8,4,1
10,0.50937457907846,SHRINK_CAL,row_8,4,1
11,0.579009936770959,SHRINK,row_8,5,1
16,0.571137272996148,SHRINK,row_8,5,1
17,0.50360353123736,SHRINK,row_8,5,1
11,0.563866101962974,SHRINK_CAL,row_8,5,1
16,0.581247603140697,SHRINK_CAL,row_8,5,1
17,0.514246903621493,SHRINK_CAL,row_8,5,1
4,0.50703069428507,SHRINK,row_32,1,1
8,0.625006313236624,SHRINK,row_32,1,1
12,0.828960154719684,SHRINK,row_32,1,1
13,0.591545034671807,SHRINK,row_32,1,1
4,0.492252381435846,SHRINK_CAL,row_32,1,1
8,0.599618167978241,SHRINK_CAL,row_32,1,1
12,0.863934233844395,SHRINK_CAL,row_32,1,1
13,0.540683397003951,SHRINK_CAL,row_32,1,1
7,0.641375571970537,SHRINK,row_32,2,1
15,0.768519606798393,SHRINK,row_32,2,1
18,0.666218201461732,SHRINK,row_32,2,1
19,0.704701235773679,SHRINK,row_32,2,1
7,0.662316199368892,SHRINK_CAL,row_32,2,1
15,0.799887563059089,SHRINK_CAL,row_32,2,1
18,0.696519028531149,SHRINK_CAL,row_32,2,1
19,0.73047726383703,SHRINK_CAL,row_32,2,1
5,0.60409613788295,SHRINK,row_32,3,1
6,0.604938348214954,SHRINK,row_32,3,1
9,0.58801761255077,SHRINK,row_32,3,1
14,0.57472927667546,SHRINK,row_32,3,1
5,0.586542696553453,SHRINK_CAL,row_32,3,1
6,0.588110946127519,SHRINK_CAL,row_32,3,1
9,0.564340306281477,SHRINK_CAL,row_32,3,1
14,0.547878072685493,SHRINK_CAL,row_32,3,1
2,0.498570830513664,SHRINK,row_32,4,1
3,0.564811747949232,SHRINK,row_32,4,1
10,0.58549343819891,SHRINK,row_32,4,1
2,0.475284664439896,SHRINK_CAL,row_32,4,1
3,0.551816115266021,SHRINK_CAL,row_32,4,1
10,0.567210655100383,SHRINK_CAL,row_32,4,1
11,0.581988366541927,SHRINK,row_32,5,1
16,0.61520716743826,SHRINK,row_32,5,1
17,0.59641174833904,SHRINK,row_32,5,1
11,0.5628880476087,SHRINK_CAL,row_32,5,1
16,0.594073006535366,SHRINK_CAL,row_32,5,1
17,0.558568074261799,SHRINK_CAL,row_32,5,1
4,0.579825285486213,SHRINK,original,1,2
8,0.569693005849523,SHRINK,original,1,2
12,0.790601357130083,SHRINK,original,1,2
13,0.476870074528075,SHRINK,original,1,2
4,0.492034411039226,SHRINK_CAL,original,1,2
8,0.605832092162069,SHRINK_CAL,original,1,2
12,0.911570012237964,SHRINK_CAL,original,1,2
13,0.520473324936921,SHRINK_CAL,original,1,2
7,0.567259786156366,SHRINK,original,2,2
15,0.682950842705279,SHRINK,original,2,2
18,0.543324435086849,SHRINK,original,2,2
19,0.627164308746657,SHRINK,original,2,2
7,0.618199915242776,SHRINK_CAL,original,2,2
15,0.765142642861332,SHRINK_CAL,original,2,2
18,0.629060861472475,SHRINK_CAL,original,2,2
19,0.69184093392308,SHRINK_CAL,original,2,2
5,0.766513883906419,SHRINK,original,3,2
6,0.763609412402332,SHRINK,original,3,2
9,0.615326346406979,SHRINK,original,3,2
14,0.623255124744326,SHRINK,original,3,2
5,0.63377642436392,SHRINK_CAL,original,3,2
6,0.630196204905351,SHRINK_CAL,original,3,2
9,0.573540434549887,SHRINK_CAL,original,3,2
14,0.548396571301054,SHRINK_CAL,original,3,2
1,0.544862030206929,SHRINK,original,4,2
3,0.609723452188065,SHRINK,original,4,2
10,0.444995930659721,SHRINK,original,4,2
1,0.485383073159176,SHRINK_CAL,original,4,2
3,0.5448988226916,SHRINK_CAL,original,4,2
10,0.512710480679554,SHRINK_CAL,original,4,2
11,0.621467331641015,SHRINK,original,5,2
16,0.581562616560915,SHRINK,original,5,2
17,0.453605404407818,SHRINK,original,5,2
11,0.565138059100764,SHRINK_CAL,original,5,2
16,0.598506058665146,SHRINK_CAL,original,5,2
17,0.520082721471582,SHRINK_CAL,original,5,2
4,0.542701798335013,SHRINK,group_0.5,1,2
8,0.619778355859904,SHRINK,group_0.5,1,2
12,0.967656854777369,SHRINK,group_0.5,1,2
13,0.494890565799427,SHRINK,group_0.5,1,2
4,0.485141224718181,SHRINK_CAL,group_0.5,1,2
8,0.62523873970866,SHRINK_CAL,group_0.5,1,2
12,0.945926638950196,SHRINK_CAL,group_0.5,1,2
13,0.537286125023349,SHRINK_CAL,group_0.5,1,2
7,0.579352240813643,SHRINK,group_0.5,2,2
15,0.769510060125315,SHRINK,group_0.5,2,2
18,0.58040754547068,SHRINK,group_0.5,2,2
19,0.666325274652055,SHRINK,group_0.5,2,2
7,0.622165935635161,SHRINK_CAL,group_0.5,2,2
15,0.774607101579363,SHRINK_CAL,group_0.5,2,2
18,0.650116707992516,SHRINK_CAL,group_0.5,2,2
19,0.693867400311608,SHRINK_CAL,group_0.5,2,2
5,0.837914300783894,SHRINK,group_0.5,3,2
6,0.839404660081166,SHRINK,group_0.5,3,2
9,0.643520294424137,SHRINK,group_0.5,3,2
14,0.698971118094363,SHRINK,group_0.5,3,2
5,0.622548350082612,SHRINK_CAL,group_0.5,3,2
6,0.620690250750561,SHRINK_CAL,group_0.5,3,2
9,0.572569918393846,SHRINK_CAL,group_0.5,3,2
14,0.56615283890605,SHRINK_CAL,group_0.5,3,2
1,0.537789189181767,SHRINK,group_0.5,4,2
3,0.594320526838047,SHRINK,group_0.5,4,2
10,0.437065944278459,SHRINK,group_0.5,4,2
1,0.500111327297298,SHRINK_CAL,group_0.5,4,2
3,0.544045922532579,SHRINK_CAL,group_0.5,4,2
10,0.531058089463526,SHRINK_CAL,group_0.5,4,2
11,0.609896876640481,SHRINK,group_0.5,5,2
16,0.578390725348111,SHRINK,group_0.5,5,2
17,0.488032357266577,SHRINK,group_0.5,5,2
11,0.573205036216796,SHRINK_CAL,group_0.5,5,2
16,0.596596887411754,SHRINK_CAL,group_0.5,5,2
17,0.551230516115203,SHRINK_CAL,group_0.5,5,2
4,0.521310182518404,SHRINK,group_2,1,2
8,0.602025703525266,SHRINK,group_2,1,2
12,0.873059563189301,SHRINK,group_2,1,2
13,0.507548258959034,SHRINK,group_2,1,2
4,0.487161911743355,SHRINK_CAL,group_2,1,2
8,0.619208096616123,SHRINK_CAL,group_2,1,2
12,0.923259338634419,SHRINK_CAL,group_2,1,2
13,0.529435048819044,SHRINK_CAL,group_2,1,2
7,0.579157662297857,SHRINK,group_2,2,2
15,0.736171719007304,SHRINK,group_2,2,2
18,0.582144573773671,SHRINK,group_2,2,2
19,0.654750249603354,SHRINK,group_2,2,2
7,0.619030209127871,SHRINK_CAL,group_2,2,2
15,0.771107649314308,SHRINK_CAL,group_2,2,2
18,0.643059649555147,SHRINK_CAL,group_2,2,2
19,0.692752926803861,SHRINK_CAL,group_2,2,2
5,0.76179096018821,SHRINK,group_2,3,2
6,0.757929254400771,SHRINK,group_2,3,2
9,0.608893505079596,SHRINK,group_2,3,2
14,0.657796330789822,SHRINK,group_2,3,2
5,0.635471838735354,SHRINK_CAL,group_2,3,2
6,0.63115317403675,SHRINK_CAL,group_2,3,2
9,0.567505175284539,SHRINK_CAL,group_2,3,2
14,0.572761456982568,SHRINK_CAL,group_2,3,2
1,0.529887984570599,SHRINK,group_2,4,2
3,0.57754270544464,SHRINK,group_2,4,2
10,0.455036394481561,SHRINK,group_2,4,2
1,0.499930806489469,SHRINK_CAL,group_2,4,2
3,0.543225708012404,SHRINK_CAL,group_2,4,2
10,0.514101414417194,SHRINK_CAL,group_2,4,2
11,0.584157462072794,SHRINK,group_2,5,2
16,0.569385170968829,SHRINK,group_2,5,2
17,0.496410944012182,SHRINK,group_2,5,2
11,0.566472829914414,SHRINK_CAL,group_2,5,2
16,0.586900288761733,SHRINK_CAL,group_2,5,2
17,0.536039349028929,SHRINK_CAL,group_2,5,2
4,0.501734856008651,SHRINK,group_8,1,2
8,0.609711299998866,SHRINK,group_8,1,2
12,0.825098945888131,SHRINK,group_8,1,2
13,0.553697450203091,SHRINK,group_8,1,2
4,0.48965779302077,SHRINK_CAL,group_8,1,2
8,0.611460030575671,SHRINK_CAL,group_8,1,2
12,0.886447540336923,SHRINK_CAL,group_8,1,2
13,0.530648384715704,SHRINK_CAL,group_8,1,2
7,0.60601654550176,SHRINK,group_8,2,2
15,0.738106277504067,SHRINK,group_8,2,2
18,0.622291956890414,SHRINK,group_8,2,2
19,0.671865437350962,SHRINK,group_8,2,2
7,0.628192486433763,SHRINK_CAL,group_8,2,2
15,0.773552821040745,SHRINK_CAL,group_8,2,2
