Model,Candidate,Risk,Groups,OuterGroup
SHRINK_CAL,row_32,0.584392787348171,18,17
SHRINK,original,0.578209448294508,18,18
SHRINK_CAL,original,0.573262900144256,18,18
SHRINK,group_0.5,0.590881403828591,18,18
SHRINK_CAL,group_0.5,0.579885512782512,18,18
SHRINK,group_2,0.575071617408042,18,18
SHRINK_CAL,group_2,0.575121641389917,18,18
SHRINK,group_8,0.577669037784997,18,18
SHRINK_CAL,group_8,0.575236881357796,18,18
SHRINK,group_32,0.612024962092602,18,18
SHRINK_CAL,group_32,0.598862686674744,18,18
SHRINK,row_0.5,0.59502842249928,18,18
SHRINK_CAL,row_0.5,0.578452899407483,18,18
SHRINK,row_2,0.577980179344022,18,18
SHRINK_CAL,row_2,0.573397140558095,18,18
SHRINK,row_8,0.572042042998097,18,18
SHRINK_CAL,row_8,0.572022293622228,18,18
SHRINK,row_32,0.597798796219747,18,18
SHRINK_CAL,row_32,0.583692010724181,18,18
SHRINK,original,0.573880714917939,18,19
SHRINK_CAL,original,0.569155090075539,18,19
SHRINK,group_0.5,0.587932362677419,18,19
SHRINK_CAL,group_0.5,0.577150470614979,18,19
SHRINK,group_2,0.571848737772526,18,19
SHRINK_CAL,group_2,0.572062849220153,18,19
SHRINK,group_8,0.575425079663012,18,19
SHRINK_CAL,group_8,0.572085711238001,18,19
SHRINK,group_32,0.61115587511909,18,19
SHRINK_CAL,group_32,0.596439570670525,18,19
SHRINK,row_0.5,0.591691627569288,18,19
SHRINK_CAL,row_0.5,0.575059151094483,18,19
SHRINK,row_2,0.573824732722591,18,19
SHRINK_CAL,row_2,0.569422510043178,18,19
SHRINK,row_8,0.567480869360363,18,19
SHRINK_CAL,row_8,0.567549357331413,18,19
SHRINK,row_32,0.593924984332934,18,19
SHRINK_CAL,row_32,0.578381435296786,18,19
