RowOrder,PXD,SampleGroup,Category,DisplayGroup,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,KlaDdrFractionPercentage,ReferenceFraction,ReferenceDdr,ReferenceTotal
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",SIRT3KO_rep1,SIRT3KO_rep1,SIRT3 KO,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1831,214,0.116876024030584,11.6876024030584,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",SIRT3KO_rep2,SIRT3KO_rep2,SIRT3 KO,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1596,188,0.117794486215539,11.7794486215539,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",SIRT3KO_rep3,SIRT3KO_rep3,SIRT3 KO,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1898,223,0.117492096944152,11.7492096944152,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",WT_rep1,WT_rep1,WT,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1222,144,0.117839607201309,11.7839607201309,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",WT_rep2,WT_rep2,WT,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1191,140,0.117548278757347,11.7548278757347,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",WT_rep3,WT_rep3,WT,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1339,158,0.117998506348021,11.7998506348021,6.64500886001181,450,6772
20,PXD054919,A549,cancer_cells,A549 cells,A549-1,A549-1,replicate,sample,deposited_supplementary_table,PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,1150,110,0.0956521739130435,9.56521739130435,6.55452436194896,226,3448
20,PXD054919,A549,cancer_cells,A549 cells,A549-2,A549-2,replicate,sample,deposited_supplementary_table,PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,1202,115,0.0956738768718802,9.56738768718802,6.55452436194896,226,3448
20,PXD054919,A549,cancer_cells,A549 cells,A549-3,A549-3,replicate,sample,deposited_supplementary_table,PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,1206,115,0.0953565505804312,9.53565505804312,6.55452436194896,226,3448
21,PXD060185,MDA-MB-468,cancer_cells,MDA-MB-468 cells,B,B,single,sample,deposited_sample_table,PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,1612,196,0.121588089330025,12.1588089330025,6.11702127659574,230,3760
