RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,ReferencePXD,ObsKey,SourceFile,Parser,QuantitationField,QuantitationTransform,QuantitationColumn,SourceColumnStatus,MKI67_SourceValue,MKI67_Intensity,MKI67_RowCount,MKI67_ReportedGroup,ACTB_SourceValue,ACTB_Intensity,ACTB_RowCount,ACTB_ReportedGroup,TUBB_SourceValue,TUBB_Intensity,TUBB_RowCount,TUBB_ReportedGroup,H3C1_SourceValue,H3C1_Intensity,H3C1_RowCount,H3C1_ReportedGroup,MKI67_over_ACTB,MKI67_over_ACTB_Status,MKI67_over_TUBB,MKI67_over_TUBB_Status,MKI67_over_H3C1,MKI67_over_H3C1_Status
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L13,L13,L sperm,sample,PXD066517,PXD064912__human sperm__L13,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[13] 20240275_L13.raw.PG.Quantity,sample_column_found,,,1,P46013,222326.96875,222326.96875,1,P60709,14547.16796875,14547.16796875,1,P07437,105346.546875,105346.546875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L14,L14,L sperm,sample,PXD066517,PXD064912__human sperm__L14,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[14] 20240275_L14.raw.PG.Quantity,sample_column_found,,,1,P46013,189191.6875,189191.6875,1,P60709,12544.26171875,12544.26171875,1,P07437,60728.671875,60728.671875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L15,L15,L sperm,sample,PXD066517,PXD064912__human sperm__L15,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[15] 20240275_L15.raw.PG.Quantity,sample_column_found,,,1,P46013,260043.28125,260043.28125,1,P60709,26153.884765625,26153.884765625,1,P07437,60658.84375,60658.84375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L16,L16,L sperm,sample,PXD066517,PXD064912__human sperm__L16,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[16] 20240275_L16.raw.PG.Quantity,sample_column_found,,,1,P46013,297872.46875,297872.46875,1,P60709,16420.95703125,16420.95703125,1,P07437,54731.84375,54731.84375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L17,L17,L sperm,sample,PXD066517,PXD064912__human sperm__L17,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[17] 20240275_L17.raw.PG.Quantity,sample_column_found,,,1,P46013,143420.515625,143420.515625,1,P60709,12431.3857421875,12431.3857421875,1,P07437,134710.90625,134710.90625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L2,L2,L sperm,sample,PXD066517,PXD064912__human sperm__L2,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[2] 20240275_L2.raw.PG.Quantity,sample_column_found,,,1,P46013,224684.875,224684.875,1,P60709,18517.6484375,18517.6484375,1,P07437,80547.2890625,80547.2890625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L3,L3,L sperm,sample,PXD066517,PXD064912__human sperm__L3,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[3] 20240275_L3.raw.PG.Quantity,sample_column_found,,,1,P46013,214776.59375,214776.59375,1,P60709,19424.365234375,19424.365234375,1,P07437,98272.15625,98272.15625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L4,L4,L sperm,sample,PXD066517,PXD064912__human sperm__L4,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[4] 20240275_L4.raw.PG.Quantity,sample_column_found,,,1,P46013,237094.328125,237094.328125,1,P60709,15495.861328125,15495.861328125,1,P07437,180799.625,180799.625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L5,L5,L sperm,sample,PXD066517,PXD064912__human sperm__L5,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[5] 20240275_L5.raw.PG.Quantity,sample_column_found,,,1,P46013,275702.3125,275702.3125,1,P60709,18800.357421875,18800.357421875,1,P07437,94234.8828125,94234.8828125,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L6,L6,L sperm,sample,PXD066517,PXD064912__human sperm__L6,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[6] 20240275_L6.raw.PG.Quantity,sample_column_found,,,1,P46013,395310.0625,395310.0625,1,P60709,25572.52734375,25572.52734375,1,P07437,127132.28125,127132.28125,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L7,L7,L sperm,sample,PXD066517,PXD064912__human sperm__L7,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[7] 20240275_L7.raw.PG.Quantity,sample_column_found,,,1,P46013,327959.15625,327959.15625,1,P60709,22931.458984375,22931.458984375,1,P07437,85866.2421875,85866.2421875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L8,L8,L sperm,sample,PXD066517,PXD064912__human sperm__L8,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[8] 20240275_L8.raw.PG.Quantity,sample_column_found,,,1,P46013,516255.6875,516255.6875,1,P60709,38923.97265625,38923.97265625,1,P07437,82256.9765625,82256.9765625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L9,L9,L sperm,sample,PXD066517,PXD064912__human sperm__L9,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[9] 20240275_L9.raw.PG.Quantity,sample_column_found,,,1,P46013,233975.875,233975.875,1,P60709,15661.6123046875,15661.6123046875,1,P07437,80429.09375,80429.09375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N1,N1,N sperm,sample,PXD066517,PXD064912__human sperm__N1,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[18] 20240275_N1.raw.PG.Quantity,sample_column_found,,,1,P46013,348291.46875,348291.46875,1,P60709,21708.7109375,21708.7109375,1,P07437,96777.9375,96777.9375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N10,N10,N sperm,sample,PXD066517,PXD064912__human sperm__N10,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[27] 20240275_N10.raw.PG.Quantity,sample_column_found,,,1,P46013,329178.5,329178.5,1,P60709,24494.8984375,24494.8984375,1,P07437,71301.5703125,71301.5703125,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N11,N11,N sperm,sample,PXD066517,PXD064912__human sperm__N11,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[28] 20240275_N11.raw.PG.Quantity,sample_column_found,,,1,P46013,390399.8125,390399.8125,1,P60709,22813.78125,22813.78125,1,P07437,73949.921875,73949.921875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N12,N12,N sperm,sample,PXD066517,PXD064912__human sperm__N12,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[29] 20240275_N12.raw.PG.Quantity,sample_column_found,,,1,P46013,282181.5625,282181.5625,1,P60709,24760.044921875,24760.044921875,1,P07437,111495.0859375,111495.0859375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
