GroupID,Model,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_04,MP_cal,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.459140696650405,0.130193328229353,0.130193328229353
KLA31_05,MP_cal,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.419888489645836,0.248655612933507,0.248655612933507
KLA31_06,MP_cal,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.405183060605488,0.370095341307243,0.370095341307243
KLA31_07,MP_cal,sperm_GroupI,6,276,5,0.0181159420289855,0.398744834936306,0.38062889290732,0.38062889290732
KLA31_08,MP_cal,GSE132714_BPH,7,280,128,0.457142857142857,0.380907041808449,-0.0762358153344079,0.0762358153344079
KLA31_11,MP_cal,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.381505949363294,-0.0775687837327915,0.0775687837327915
KLA31_09,MP_cal,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.409414074564889,-0.105511298569439,0.105511298569439
KLA31_12,MP_cal,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.40348522200036,-0.0696330575695324,0.0696330575695324
KLA31_10,MP_cal,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.401532790835293,0.116810568613071,0.116810568613071
KLA31_13,MP_cal,MCF7_DMSO7d,10,167,87,0.520958083832335,0.423381048495306,-0.0975770353370294,0.0975770353370294
KLA31_20,MP_cal,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.408393812362004,-0.197320473352282,0.197320473352282
KLA31_21,MP_cal,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.414204329191688,-0.158017893030534,0.158017893030534
KLA31_29,MP_cal,GSE103520_MCF10A_control,10,155,62,0.4,0.386313328210064,-0.0136866717899357,0.0136866717899357
KLA31_14,MP_cal,HCT116_control,11,205,27,0.131707317073171,0.448202828351322,0.316495511278151,0.316495511278151
KLA31_15,MP_cal,HCT116_control,11,205,52,0.253658536585366,0.448202828351322,0.194544291765956,0.194544291765956
KLA31_16,MP_cal,HCT116_control,11,323,224,0.693498452012384,0.401511187395903,-0.291987264616481,0.291987264616481
KLA31_17,MP_cal,GSE163787_TALL104,11,192,34,0.177083333333333,0.448007820700903,0.270924487367569,0.270924487367569
KLA31_25,MP_cal,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.425294208538466,0.283503163762347,0.283503163762347
KLA31_18,MP_cal,HepG2_DMSO24h,12,303,228,0.752475247524752,0.365328327059495,-0.387146920465258,0.387146920465258
KLA31_19,MP_cal,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.415519358976053,-0.0759092124525181,0.0759092124525181
KLA31_22,MP_cal,PC3M_DMSO,14,177,28,0.15819209039548,0.426784242424087,0.268592152028606,0.268592152028606
KLA31_23,MP_cal,GSE266884_MES28_vector_control,15,320,220,0.6875,0.351700265382433,-0.335799734617567,0.335799734617567
KLA31_30,MP_cal,GSE119834_NSC,15,307,164,0.534201954397394,0.3526900715739,-0.181511882823494,0.181511882823494
KLA31_24,MP_cal,RKO_DMSO,16,193,90,0.466321243523316,0.413782943713756,-0.0525382998095605,0.0525382998095605
KLA31_26,MP_cal,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.390966324137385,-0.100322874468887,0.100322874468887
KLA31_27,MP_cal,HK2_untreated,18,216,141,0.652777777777778,0.390034456517766,-0.262743321260012,0.262743321260012
KLA31_28,MP_cal,HK2_untreated,18,216,89,0.412037037037037,0.390034456517766,-0.022002580519271,0.022002580519271
KLA31_31,MP_cal,HUVEC_untreated,19,323,172,0.532507739938081,0.378377566727378,-0.154130173210702,0.154130173210702
KLA31_01,ME,tendon_nondiabetic,1,112,22,0.196428571428571,0.402195498967737,0.205766927539166,0.205766927539166
KLA31_02,ME,GTEx_v8_Lung,2,280,21,0.075,0.39557687356411,0.32057687356411,0.32057687356411
KLA31_03,ME,GSE181540_HS_input,3,70,14,0.2,0.439202948054107,0.239202948054107,0.239202948054107
