Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note,dropped_train
MP,13,175,86,0.8328,0.8322,0.8611,0.1581,0.4809,,16
ME,13,175,86,0.6384,0.6351,0.6441,0.2446,0.6821,,16
ME2P,13,175,86,0.8487,0.8473,0.8754,0.1736,0.5166,,16
M0,14,177,28,0.1582,0.1582,0.5,0.1947,0.5814,,16
MP,14,177,28,0.668,0.6635,0.9149,0.1805,0.5324,,16
ME,14,177,28,0.2926,0.2861,0.6016,0.212,0.616,,16
ME2P,14,177,28,0.666,0.6573,0.9092,0.16,0.4907,,16
M0,15,627,384,0.6124,0.6124,0.5,0.2927,0.7807,,16
MP,15,627,384,0.8774,0.8792,0.818,0.2317,0.6671,,16
ME,15,627,384,0.6693,0.6683,0.564,0.3067,0.8143,,16
ME2P,15,627,384,0.8695,0.8693,0.7968,0.2672,0.7473,,16
M0,17,287,141,0.4913,0.4913,0.5,0.2591,0.7118,,16
MP,17,287,141,0.9062,0.9076,0.9081,0.1502,0.4676,,16
ME,17,287,141,0.6097,0.6075,0.6037,0.2471,0.6873,,16
ME2P,17,287,141,0.9127,0.9123,0.9083,0.1579,0.4898,,16
M0,18,432,230,0.5324,0.5324,0.5,0.2692,0.7323,,16
MP,18,432,230,0.9041,0.9057,0.8901,0.1652,0.5017,,16
ME,18,432,230,0.595,0.5929,0.5579,0.2581,0.7095,,16
ME2P,18,432,230,0.9017,0.9019,0.8871,0.2119,0.6056,,16
M0,19,323,172,0.5325,0.5325,0.5,0.2685,0.7309,,16
MP,19,323,172,0.8516,0.8531,0.8123,0.1985,0.5908,,16
ME,19,323,172,0.6813,0.6799,0.6236,0.2612,0.7163,,16
ME2P,19,323,172,0.8597,0.8592,0.8236,0.2083,0.6061,,16
M0,1,112,22,0.1964,0.1964,0.5,0.1997,0.5914,,17
MP,1,112,22,0.7573,0.753,0.8639,0.1761,0.5211,,17
ME,1,112,22,0.3793,0.3639,0.7146,0.1921,0.5751,,17
ME2P,1,112,22,0.7529,0.7491,0.8611,0.1551,0.4796,,17
M0,2,280,21,0.075,0.075,0.5,0.1831,0.5579,,17
MP,2,280,21,0.5986,0.5917,0.9049,0.1778,0.5267,,17
ME,2,280,21,0.3525,0.3284,0.8303,0.1662,0.522,,17
ME2P,2,280,21,0.6552,0.6489,0.9231,0.1425,0.4528,,17
M0,3,146,39,0.2671,0.2671,0.5,0.2136,0.6195,,17
MP,3,146,39,0.6371,0.6336,0.7943,0.2063,0.5997,,17
ME,3,146,39,0.6276,0.6232,0.7803,0.2087,0.6094,,17
ME2P,3,146,39,0.6248,0.6165,0.8088,0.1948,0.573,,17
M0,4,146,25,0.1712,0.1712,0.5,0.1955,0.5829,,17
MP,4,146,25,0.5078,0.4992,0.7698,0.2021,0.5839,,17
ME,4,146,25,0.2704,0.248,0.6255,0.1774,0.5439,,17
ME2P,4,146,25,0.5302,0.5208,0.7772,0.1718,0.5172,,17
M0,5,228,8,0.0351,0.0351,0.5,0.175,0.5417,,17
MP,5,228,8,0.2927,0.241,0.7926,0.2098,0.6024,,17
ME,5,228,8,0.1465,0.124,0.817,0.1516,0.4918,,17
ME2P,5,228,8,0.293,0.2518,0.8131,0.1758,0.5278,,17
M0,6,276,5,0.0181,0.0181,0.5,0.1749,0.5415,,17
MP,6,276,5,0.0443,0.0335,0.7185,0.2164,0.6341,,17
ME,6,276,5,0.0695,0.0516,0.6775,0.1381,0.4635,,17
ME2P,6,276,5,0.0518,0.0383,0.7247,0.2893,0.8014,,17
M0,7,561,257,0.4581,0.4581,0.5,0.2526,0.6987,,17
MP,7,561,257,0.8069,0.8092,0.8113,0.1817,0.5466,,17
ME,7,561,257,0.6223,0.621,0.6431,0.2452,0.6835,,17
ME2P,7,561,257,0.8232,0.8228,0.8259,0.1861,0.5542,,17
M0,8,320,157,0.4906,0.4906,0.5,0.2595,0.7126,,17
MP,8,320,157,0.8126,0.813,0.786,0.1914,0.5756,,17
ME,8,320,157,0.5465,0.5411,0.558,0.2647,0.7245,,17
ME2P,8,320,157,0.8189,0.8183,0.7911,0.1974,0.5826,,17
M0,9,288,82,0.2847,0.2847,0.5,0.2176,0.6276,,17
MP,9,288,82,0.6284,0.6251,0.7711,0.1794,0.5415,,17
ME,9,288,82,0.5341,0.5294,0.7276,0.2045,0.5999,,17
ME2P,9,288,82,0.6499,0.6423,0.7973,0.1641,0.5053,,17
M0,10,677,358,0.5288,0.5288,0.5,0.2707,0.7355,,17
MP,10,677,358,0.9188,0.9209,0.9173,0.1507,0.4682,,17
ME,10,677,358,0.6095,0.6081,0.589,0.2587,0.711,,17
ME2P,10,677,358,0.9193,0.9191,0.9156,0.1619,0.5002,,17
M0,11,1193,375,0.3143,0.3143,0.5,0.2259,0.6447,,17
MP,11,1193,375,0.557,0.5491,0.7197,0.2099,0.609,,17
ME,11,1193,375,0.3503,0.3474,0.5161,0.2397,0.6724,,17
ME2P,11,1193,375,0.5703,0.5698,0.7158,0.2085,0.6043,,17
M0,12,303,228,0.7525,0.7525,0.5,0.3249,0.8463,,17
MP,12,303,228,0.9207,0.9214,0.7907,0.2928,0.8321,,17
ME,12,303,228,0.7158,0.7123,0.417,0.4176,1.0686,,17
ME2P,12,303,228,0.9141,0.9139,0.7653,0.3721,1.0173,,17
M0,13,175,86,0.4914,0.4914,0.5,0.2592,0.7121,,17
MP,13,175,86,0.8435,0.8436,0.8701,0.1567,0.4784,,17
ME,13,175,86,0.6384,0.6351,0.6441,0.2448,0.6826,,17
ME2P,13,175,86,0.8581,0.8567,0.8832,0.1746,0.5197,,17
M0,14,177,28,0.1582,0.1582,0.5,0.1937,0.5793,,17
MP,14,177,28,0.6778,0.674,0.9195,0.1769,0.5257,,17
ME,14,177,28,0.2926,0.2861,0.6016,0.2112,0.6143,,17
ME2P,14,177,28,0.6654,0.6567,0.9087,0.1568,0.4851,,17
M0,15,627,384,0.6124,0.6124,0.5,0.294,0.7834,,17
MP,15,627,384,0.865,0.8666,0.8013,0.2387,0.6829,,17
ME,15,627,384,0.6693,0.6683,0.564,0.3076,0.8164,,17
ME2P,15,627,384,0.8559,0.8556,0.7779,0.2737,0.7608,,17
M0,16,193,90,0.4663,0.4663,0.5,0.2539,0.7012,,17
MP,16,193,90,0.7746,0.7748,0.7722,0.1937,0.5816,,17
ME,16,193,90,0.6403,0.6353,0.6519,0.2394,0.6716,,17
ME2P,16,193,90,0.7966,0.7952,0.7955,0.1871,0.5564,,17
M0,18,432,230,0.5324,0.5324,0.5,0.2698,0.7337,,17
MP,18,432,230,0.8997,0.9019,0.8862,0.1697,0.5122,,17
ME,18,432,230,0.595,0.5929,0.5579,0.2586,0.7105,,17
ME2P,18,432,230,0.8972,0.8974,0.8824,0.2206,0.6249,,17
M0,19,323,172,0.5325,0.5325,0.5,0.2691,0.7322,,17
MP,19,323,172,0.8466,0.8482,0.813,0.1997,0.5897,,17
ME,19,323,172,0.6813,0.6799,0.6236,0.2617,0.7174,,17
ME2P,19,323,172,0.8594,0.8589,0.8258,0.2114,0.6114,,17
M0,1,112,22,0.1964,0.1964,0.5,0.1977,0.5872,,18
MP,1,112,22,0.7638,0.7609,0.8717,0.174,0.5155,,18
ME,1,112,22,0.3793,0.3639,0.7146,0.1905,0.5716,,18
ME2P,1,112,22,0.7608,0.7571,0.8687,0.1442,0.454,,18
M0,2,280,21,0.075,0.075,0.5,0.1798,0.5512,,18
MP,2,280,21,0.6191,0.6189,0.9078,0.1745,0.5191,,18
ME,2,280,21,0.3525,0.3284,0.8303,0.1638,0.517,,18
ME2P,2,280,21,0.6642,0.658,0.9272,0.126,0.4147,,18
M0,3,146,39,0.2671,0.2671,0.5,0.2123,0.6167,,18
MP,3,146,39,0.6275,0.6243,0.7872,0.2081,0.6032,,18
ME,3,146,39,0.6276,0.6232,0.7803,0.2072,0.6064,,18
ME2P,3,146,39,0.6058,0.5953,0.8025,0.196,0.576,,18
M0,4,146,25,0.1712,0.1712,0.5,0.1933,0.5782,,18
MP,4,146,25,0.5159,0.5217,0.7721,0.198,0.5746,,18
ME,4,146,25,0.2704,0.248,0.6255,0.176,0.541,,18
ME2P,4,146,25,0.5304,0.521,0.7785,0.1654,0.5026,,18
M0,5,228,8,0.0351,0.0351,0.5,0.1714,0.5342,,18
MP,5,228,8,0.298,0.2804,0.7849,0.207,0.5962,,18
ME,5,228,8,0.1465,0.124,0.817,0.1491,0.4866,,18
ME2P,5,228,8,0.2823,0.2413,0.8085,0.1736,0.5233,,18
M0,6,276,5,0.0181,0.0181,0.5,0.1711,0.5338,,18
MP,6,276,5,0.043,0.0325,0.7122,0.2142,0.6281,,18
ME,6,276,5,0.0695,0.0516,0.6775,0.1362,0.4592,,18
ME2P,6,276,5,0.051,0.0376,0.7144,0.3553,0.9704,,18
M0,7,561,257,0.4581,0.4581,0.5,0.2534,0.7003,,18
MP,7,561,257,0.813,0.8157,0.8166,0.181,0.5455,,18
ME,7,561,257,0.6223,0.621,0.6431,0.2462,0.6854,,18
ME2P,7,561,257,0.8285,0.8281,0.8278,0.1866,0.5554,,18
M0,8,320,157,0.4906,0.4906,0.5,0.2606,0.7149,,18
MP,8,320,157,0.8107,0.811,0.7875,0.1912,0.5726,,18
ME,8,320,157,0.5465,0.5411,0.558,0.2658,0.7268,,18
ME2P,8,320,157,0.8155,0.8149,0.7931,0.1976,0.5824,,18
M0,9,288,82,0.2847,0.2847,0.5,0.2164,0.6252,,18
MP,9,288,82,0.6279,0.6269,0.776,0.1769,0.5353,,18
ME,9,288,82,0.5341,0.5294,0.7276,0.2037,0.5983,,18
ME2P,9,288,82,0.6555,0.6478,0.8067,0.1599,0.4952,,18
M0,10,677,358,0.5288,0.5288,0.5,0.2725,0.7393,,18
MP,10,677,358,0.9132,0.9145,0.9102,0.1549,0.4783,,18
ME,10,677,358,0.6095,0.6081,0.589,0.2605,0.7146,,18
ME2P,10,677,358,0.9072,0.907,0.9024,0.1618,0.5003,,18
M0,11,1193,375,0.3143,0.3143,0.5,0.2248,0.6424,,18
MP,11,1193,375,0.5546,0.5536,0.7189,0.2086,0.6055,,18
ME,11,1193,375,0.3503,0.3474,0.5161,0.238,0.6689,,18
ME2P,11,1193,375,0.5719,0.5715,0.7228,0.2015,0.5881,,18
M0,12,303,228,0.7525,0.7525,0.5,0.3292,0.8553,,18
MP,12,303,228,0.9171,0.9182,0.7839,0.2978,0.8445,,18
ME,12,303,228,0.7158,0.7123,0.417,0.4206,1.0763,,18
ME2P,12,303,228,0.9103,0.91,0.7581,0.3534,0.9629,,18
M0,13,175,86,0.4914,0.4914,0.5,0.2603,0.7142,,18
MP,13,175,86,0.838,0.8376,0.8648,0.1596,0.4852,,18
ME,13,175,86,0.6384,0.6351,0.6441,0.2457,0.6844,,18
ME2P,13,175,86,0.8554,0.8541,0.8795,0.194,0.5601,,18
M0,14,177,28,0.1582,0.1582,0.5,0.1913,0.5743,,18
MP,14,177,28,0.6802,0.6802,0.9203,0.1734,0.5175,,18
ME,14,177,28,0.2926,0.2861,0.6016,0.2083,0.6083,,18
ME2P,14,177,28,0.6653,0.6565,0.9084,0.143,0.4534,,18
M0,15,627,384,0.6124,0.6124,0.5,0.2969,0.7897,,18
MP,15,627,384,0.8655,0.867,0.8038,0.2407,0.6893,,18
ME,15,627,384,0.6693,0.6683,0.564,0.3101,0.8221,,18
ME2P,15,627,384,0.8438,0.8435,0.761,0.2896,0.8038,,18
M0,16,193,90,0.4663,0.4663,0.5,0.2547,0.7028,,18
MP,16,193,90,0.7824,0.7823,0.7786,0.1915,0.5761,,18
ME,16,193,90,0.6403,0.6353,0.6519,0.2401,0.673,,18
ME2P,16,193,90,0.8049,0.8036,0.8032,0.1854,0.5527,,18
M0,17,287,141,0.4913,0.4913,0.5,0.2606,0.715,,18
MP,17,287,141,0.9046,0.906,0.905,0.1551,0.4792,,18
ME,17,287,141,0.6097,0.6075,0.6037,0.2482,0.6896,,18
ME2P,17,287,141,0.911,0.9106,0.905,0.1688,0.514,,18
M0,19,323,172,0.5325,0.5325,0.5,0.2707,0.7355,,18
MP,19,323,172,0.8443,0.8465,0.8077,0.2029,0.5972,,18
ME,19,323,172,0.6813,0.6799,0.6236,0.2633,0.7206,,18
ME2P,19,323,172,0.8564,0.856,0.8213,0.2211,0.6339,,18
M0,1,112,22,0.1964,0.1964,0.5,0.1987,0.5892,,19
MP,1,112,22,0.7558,0.751,0.8674,0.175,0.5172,,19
ME,1,112,22,0.3793,0.3639,0.7146,0.1903,0.5712,,19
ME2P,1,112,22,0.7529,0.7491,0.8657,0.1506,0.4673,,19
M0,2,280,21,0.075,0.075,0.5,0.1813,0.5543,,19
MP,2,280,21,0.619,0.6139,0.907,0.177,0.5239,,19
ME,2,280,21,0.3525,0.3284,0.8303,0.1633,0.516,,19
ME2P,2,280,21,0.6672,0.6609,0.9261,0.1353,0.4349,,19
M0,3,146,39,0.2671,0.2671,0.5,0.2129,0.618,,19
MP,3,146,39,0.6336,0.6303,0.7868,0.2087,0.6054,,19
ME,3,146,39,0.6276,0.6232,0.7803,0.2072,0.6063,,19
ME2P,3,146,39,0.6226,0.6143,0.803,0.1971,0.5782,,19
M0,4,146,25,0.1712,0.1712,0.5,0.1943,0.5804,,19
MP,4,146,25,0.507,0.4984,0.7707,0.2005,0.5793,,19
ME,4,146,25,0.2704,0.248,0.6255,0.1755,0.5398,,19
ME2P,4,146,25,0.5299,0.5206,0.7785,0.1695,0.5105,,19
M0,5,228,8,0.0351,0.0351,0.5,0.1731,0.5376,,19
MP,5,228,8,0.2927,0.2409,0.7909,0.2105,0.6037,,19
ME,5,228,8,0.1465,0.124,0.817,0.1484,0.4851,,19
ME2P,5,228,8,0.2941,0.2529,0.8068,0.1764,0.5281,,19
M0,6,276,5,0.0181,0.0181,0.5,0.1728,0.5373,,19
MP,6,276,5,0.0429,0.0324,0.7052,0.217,0.6342,,19
ME,6,276,5,0.0695,0.0516,0.6775,0.1348,0.4561,,19
ME2P,6,276,5,0.0516,0.0381,0.7196,0.3079,0.8515,,19
M0,7,561,257,0.4581,0.4581,0.5,0.253,0.6995,,19
MP,7,561,257,0.8017,0.8048,0.8074,0.1834,0.5522,,19
ME,7,561,257,0.6223,0.621,0.6431,0.2458,0.6847,,19
ME2P,7,561,257,0.8178,0.8174,0.8209,0.1864,0.5552,,19
M0,8,320,157,0.4906,0.4906,0.5,0.2601,0.7138,,19
MP,8,320,157,0.8145,0.815,0.7915,0.1894,0.5682,,19
ME,8,320,157,0.5465,0.5411,0.558,0.2661,0.7276,,19
ME2P,8,320,157,0.822,0.8214,0.7982,0.196,0.5787,,19
M0,9,288,82,0.2847,0.2847,0.5,0.217,0.6263,,19
MP,9,288,82,0.6249,0.6223,0.7697,0.1794,0.5416,,19
ME,9,288,82,0.5341,0.5294,0.7276,0.2033,0.5974,,19
ME2P,9,288,82,0.6498,0.6421,0.7977,0.1626,0.5008,,19
M0,10,677,358,0.5288,0.5288,0.5,0.2716,0.7374,,19
MP,10,677,358,0.9175,0.9196,0.9156,0.1501,0.4666,,19
ME,10,677,358,0.6095,0.6081,0.589,0.2597,0.713,,19
ME2P,10,677,358,0.9193,0.9191,0.9157,0.1577,0.49,,19
M0,11,1193,375,0.3143,0.3143,0.5,0.2253,0.6434,,19
MP,11,1193,375,0.5564,0.5484,0.7197,0.2088,0.6063,,19
ME,11,1193,375,0.3503,0.3474,0.5161,0.2378,0.6685,,19
ME2P,11,1193,375,0.5718,0.5713,0.7188,0.206,0.5987,,19
M0,12,303,228,0.7525,0.7525,0.5,0.3271,0.8508,,19
MP,12,303,228,0.9204,0.9211,0.7897,0.2951,0.8399,,19
ME,12,303,228,0.7158,0.7123,0.417,0.4237,1.085,,19
ME2P,12,303,228,0.9131,0.9128,0.7642,0.3797,1.0424,,19
M0,13,175,86,0.4914,0.4914,0.5,0.2598,0.7132,,19
MP,13,175,86,0.8443,0.8441,0.8692,0.1567,0.4779,,19
ME,13,175,86,0.6384,0.6351,0.6441,0.2452,0.6833,,19
ME2P,13,175,86,0.8592,0.8579,0.8825,0.1743,0.5191,,19
M0,14,177,28,0.1582,0.1582,0.5,0.1924,0.5766,,19
MP,14,177,28,0.6774,0.6738,0.9186,0.1757,0.5218,,19
ME,14,177,28,0.2926,0.2861,0.6016,0.2088,0.6094,,19
ME2P,14,177,28,0.6686,0.66,0.9087,0.1563,0.4833,,19
M0,15,627,384,0.6124,0.6124,0.5,0.2954,0.7865,,19
MP,15,627,384,0.8723,0.8744,0.8138,0.237,0.6785,,19
ME,15,627,384,0.6693,0.6683,0.564,0.3109,0.8241,,19
ME2P,15,627,384,0.864,0.8637,0.7902,0.275,0.7636,,19
M0,16,193,90,0.4663,0.4663,0.5,0.2543,0.702,,19
MP,16,193,90,0.7753,0.7755,0.7677,0.1958,0.5921,,19
ME,16,193,90,0.6403,0.6353,0.6519,0.2396,0.6719,,19
ME2P,16,193,90,0.7942,0.7929,0.7899,0.1879,0.5591,,19
M0,17,287,141,0.4913,0.4913,0.5,0.2601,0.7139,,19
MP,17,287,141,0.9053,0.9066,0.9076,0.1529,0.4734,,19
ME,17,287,141,0.6097,0.6075,0.6037,0.2478,0.6887,,19
ME2P,17,287,141,0.9123,0.912,0.9076,0.1629,0.5014,,19
M0,18,432,230,0.5324,0.5324,0.5,0.2707,0.7355,,19
MP,18,432,230,0.8939,0.8961,0.8812,0.1708,0.5143,,19
ME,18,432,230,0.595,0.5929,0.5579,0.2595,0.7123,,19
ME2P,18,432,230,0.8916,0.8917,0.8777,0.2242,0.6335,,19
