release,release_date,filename,url,md5_hash
DepMap Public 25Q3,2025-09-25,AchillesSequenceQCReport.csv,,7637163c2d117fb2550e926f7da5e539
DepMap Public 25Q3,2025-09-25,AchillesHighVarianceGeneControls.csv,,f50e28c6a4efa0adc10ec14038f6a6ac
DepMap Public 25Q3,2025-09-25,OmicsCNSegmentsWGS.csv,,e66dd971662f29a3680982106c591c96
DepMap Public 25Q3,2025-09-25,PortalOmicsCNGeneLog2.csv,,3213469c924635700b86218de832f23d
DepMap Public 25Q3,2025-09-25,OmicsSomaticMutations.csv,,8037aafae3c47ba80a8fb311a83de436
DepMap Public 25Q3,2025-09-25,OmicsSomaticMutationsMAF.maf,,039fa2c2130b5965a22c79841d308441
DepMap Public 25Q3,2025-09-25,OmicsSomaticMutationsMatrixHotspot.csv,,46af6589effde6b4eeb7f6b5027264bf
DepMap Public 25Q3,2025-09-25,OmicsSomaticMutationsMatrixDamaging.csv,,1a1d0b79094ac973e587e4035c5f3c76
DepMap Public 25Q3,2025-09-25,OmicsProfiles.csv,,3d7dfe968a307ccc0b69df755f689747
DepMap Public 25Q3,2025-09-25,OmicsGuideMutationsBinaryKY.csv,,53f58f558f040c277e088987a8d01a52
DepMap Public 25Q3,2025-09-25,OmicsGuideMutationsBinaryHumagne.csv,,eae1da89e1296e28d192027d3a306d2a
DepMap Public 25Q3,2025-09-25,OmicsGuideMutationsBinaryAvana.csv,,91e2a9b63f3c43b39804eb173eda45fb
DepMap Public 25Q3,2025-09-25,OmicsGlobalSignatures.csv,,355fd68e45ef25084a49c92c0111d79d
DepMap Public 25Q3,2025-09-25,Model.csv,,af4472ab734ea3aec974d992b504c7e5
DepMap Public 25Q3,2025-09-25,ModelCondition.csv,,9694706745479d8457083cfeeb7d52a4
DepMap Public 25Q3,2025-09-25,OmicsMicrosatelliteRepeats.csv,,7a4722498845e62ef3dce592030980f1
DepMap Public 25Q3,2025-09-25,Gene.csv,,bc9ecc2929051de9876f30305b8f8caf
DepMap Public 25Q3,2025-09-25,PortalCompounds.csv,,8d5450b7e702cbce91d2be6e734a95ae
DepMap Public 25Q3,2025-09-25,OmicsCNGeneWGS.csv,,2b39b0441e00574f0322d4925938c045
DepMap Public 25Q3,2025-09-25,OmicsCNGeneMC_WES.csv,,ce3a35883326194c3d955d1dca34d06e
DepMap Public 25Q3,2025-09-25,OmicsExpressionEffectiveLengthHumanAllGenes.csv,,7b05d21b52c7151d10dfea42025c7c25
DepMap Public 25Q3,2025-09-25,OmicsExpressionEffectiveLengthHumanAllGenesStranded.csv,,a77355a5911e261e66bc66c2b0b9fb48
DepMap Public 25Q3,2025-09-25,OmicsExpressionEffectiveLengthHumanProteinCodingGenes.csv,,b621183f1103f2005e9a6faf4f1df2e7
DepMap Public 25Q3,2025-09-25,OmicsExpressionEffectiveLengthHumanProteinCodingGenesStranded.csv,,7072e38e6dbaa76cac3eaa4b024f1d25
DepMap Public 25Q3,2025-09-25,OmicsExpressionExpectedCountHumanAllGenes.csv,,467a8d7c37fbe4fe3cdff2ed757b5bb2
DepMap Public 25Q3,2025-09-25,OmicsExpressionExpectedCountHumanAllGenesStranded.csv,,880e6176880909b60005859ce14d870a
DepMap Public 25Q3,2025-09-25,OmicsExpressionExpectedCountHumanProteinCodingGenes.csv,,c51fc0f921b862201dc93a8687067d5c
DepMap Public 25Q3,2025-09-25,OmicsExpressionExpectedCountHumanProteinCodingGenesStranded.csv,,b6b033c71189c2a3482f4559f534cf7a
DepMap Public 25Q3,2025-09-25,OmicsExpressionRawReadCountHumanAllGenes.csv,,a0608a865df59e402722d5ab294bdb2a
DepMap Public 25Q3,2025-09-25,OmicsExpressionRawReadCountHumanAllGenesStranded.csv,,a0608a865df59e402722d5ab294bdb2a
DepMap Public 25Q3,2025-09-25,OmicsExpressionRawReadCountHumanProteinCodingGenes.csv,,c45b4e98debdb89492f03952a27037e8
DepMap Public 25Q3,2025-09-25,OmicsExpressionRawReadCountHumanProteinCodingGenesStranded.csv,,c45b4e98debdb89492f03952a27037e8
DepMap Public 25Q3,2025-09-25,OmicsExpressionTPMLogp1HumanAllGenes.csv,,4dd75c302e4f5e38ec415a4e9a0d37d9
DepMap Public 25Q3,2025-09-25,OmicsExpressionTPMLogp1HumanAllGenesStranded.csv,,3a59970d39565f0f3f56fdb39267bbb8
DepMap Public 25Q3,2025-09-25,OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv,,90ae19f02ccebe3aba5d16bbf67ef6f2
DepMap Public 25Q3,2025-09-25,OmicsExpressionTPMLogp1HumanProteinCodingGenesStranded.csv,,6b26356b8c211ad1909c00845bcda5b8
DepMap Public 25Q3,2025-09-25,OmicsExpressionTranscriptEffectiveLengthHumanAllGenes.csv,,595cb1215f9e8dcb2e17890f69c24045
