RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N12,N12,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8557,343,0.0400841416384247,4.00841416384247,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N13,N13,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8371,337,0.0402580336877315,4.02580336877315,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N14,N14,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8629,336,0.0389384633213582,3.89384633213582,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N15,N15,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8524,333,0.0390661661191929,3.90661661191929,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N16,N16,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8530,337,0.0395076201641266,3.95076201641266,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N2,N2,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8627,347,0.0402225570882114,4.02225570882114,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N3,N3,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8307,335,0.0403274346936319,4.03274346936319,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N4,N4,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8446,324,0.0383613544873313,3.83613544873313,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N5,N5,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8545,336,0.0393212404915155,3.93212404915155,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,N6,N6,N sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8651,349,0.0403421569760721,4.03421569760721,231,7,3.03030303030303,10680,461,4.31647940074906
