ConnGroup,LogLoss,Model,candidate_lambda,OuterConnGroup
16,0.668787040287774,XEN,0.05,1
19,0.735390208137797,XEN,0.05,1
8,0.700402861212754,XEN,0.1,1
9,0.585910359156631,XEN,0.1,1
10,0.701994825481416,XEN,0.1,1
18,0.761460854803979,XEN,0.1,1
7,0.681089108630018,XEN,0.1,1
11,0.68491841981172,XEN,0.1,1
12,1.27930670196022,XEN,0.1,1
2,0.545985273404512,XEN,0.1,1
4,0.590204930240085,XEN,0.1,1
5,0.546597801696707,XEN,0.1,1
17,0.685068464941626,XEN,0.1,1
3,0.591525616375384,XEN,0.1,1
14,0.579090158620848,XEN,0.1,1
15,0.843885756710946,XEN,0.1,1
6,0.734391221577816,XEN,0.1,1
13,0.69077494754443,XEN,0.1,1
16,0.668788400096446,XEN,0.1,1
19,0.735388230400052,XEN,0.1,1
8,0.700408785005847,XEN,0.3,1
9,0.585917696613456,XEN,0.3,1
10,0.702001298056027,XEN,0.3,1
18,0.761442002566538,XEN,0.3,1
7,0.681089661053278,XEN,0.3,1
11,0.684908012814279,XEN,0.3,1
12,1.27919297432036,XEN,0.3,1
2,0.545995979681057,XEN,0.3,1
4,0.590209769429625,XEN,0.3,1
5,0.546604990629267,XEN,0.3,1
17,0.685070401803157,XEN,0.3,1
3,0.591528632771927,XEN,0.3,1
14,0.579086056955245,XEN,0.3,1
15,0.843855075633936,XEN,0.3,1
6,0.734340050861625,XEN,0.3,1
13,0.690773728549586,XEN,0.3,1
16,0.668793837998889,XEN,0.3,1
19,0.735380323575551,XEN,0.3,1
8,0.700429496758274,XEN,1,1
9,0.585943346611634,XEN,1,1
10,0.702023953094153,XEN,1,1
18,0.761376170697639,XEN,1,1
7,0.681091602284386,XEN,1,1
11,0.68487163123091,XEN,1,1
12,1.27879544533354,XEN,1,1
2,0.546033412656527,XEN,1,1
4,0.590226691671687,XEN,1,1
5,0.546630127339244,XEN,1,1
17,0.685077177265364,XEN,1,1
3,0.59153918494643,XEN,1,1
14,0.579071740457647,XEN,1,1
15,0.843747878645929,XEN,1,1
6,0.734161192292651,XEN,1,1
13,0.690769486032965,XEN,1,1
16,0.668812853887134,XEN,1,1
19,0.735352701586266,XEN,1,1
8,0.600024519363488,MP_cal,0.05,2
9,0.545411837410369,MP_cal,0.05,2
10,0.534462917683045,MP_cal,0.05,2
18,0.571571612124095,MP_cal,0.05,2
7,0.541045259392266,MP_cal,0.05,2
11,0.592978738072483,MP_cal,0.05,2
12,0.76870200592901,MP_cal,0.05,2
1,0.548993274578874,MP_cal,0.05,2
