ReferenceKey,Model,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
tendon_nondiabetic,ME_P,1,112,22,0.196428571428571,0.430982251907871,0.234553680479299,0.234553680479299
GTEx_v8_Lung,ME_P,1,280,21,0.075,0.388436441237125,0.313436441237125,0.313436441237125
GSE181540_HS_input,ME_P,1,70,14,0.2,0.483206321866319,0.283206321866319,0.283206321866319
GSE181540_adjacent_NS_input,ME_P,1,76,25,0.328947368421053,0.477679904219236,0.148732535798183,0.148732535798183
GTEx_v8_Hippocampus,ME_P,1,146,25,0.171232876712329,0.403660787153135,0.232427910440806,0.232427910440806
GSE114691_control_placenta,ME_P,1,228,8,0.0350877192982456,0.391228383839044,0.356140664540799,0.356140664540799
sperm_GroupI,ME_P,1,276,5,0.0181159420289855,0.383897972271651,0.365782030242665,0.365782030242665
GSE132714_BPH,ME_P,1,280,128,0.457142857142857,0.379230615483722,-0.0779122416591352,0.0779122416591352
TCGA_PRAD_primary,ME_P,1,281,129,0.459074733096086,0.376389891156214,-0.0826848419398717,0.0826848419398717
TCGA_LIHC_normal,ME_P,1,134,69,0.514925373134328,0.384051093289623,-0.130874279844705,0.130874279844705
TCGA_LIHC_primary,ME_P,1,186,88,0.473118279569893,0.386079844764874,-0.0870384348050185,0.0870384348050185
TCGA_ESCA_ESCC,ME_P,1,288,82,0.284722222222222,0.39965573117682,0.114933508954598,0.114933508954598
MCF7_DMSO7d,ME_P,1,167,87,0.520958083832335,0.438451629729705,-0.0825064541026304,0.0825064541026304
MDAMB468_DMSO7d,ME_P,1,175,106,0.605714285714286,0.424090399358987,-0.181623886355299,0.181623886355299
GSE283812_T47D_vehicle,ME_P,1,180,103,0.572222222222222,0.439090591196942,-0.13313163102528,0.13313163102528
GSE103520_MCF10A_control,ME_P,1,155,62,0.4,0.359843924819245,-0.0401560751807546,0.0401560751807546
HCT116_control,ME_P,3,733,303,0.413369713506139,0.448118918807352,0.0347492053012126,0.0347492053012126
GSE163787_TALL104,ME_P,1,192,34,0.177083333333333,0.475375519618929,0.298292186285595,0.298292186285595
GSE203529_HEK293T_WT,ME_P,1,268,38,0.141791044776119,0.450486601085037,0.308695556308918,0.308695556308918
HepG2_DMSO24h,ME_P,1,303,228,0.752475247524752,0.307626194800428,-0.444849052724325,0.444849052724325
GSE171750_A549_untreated,ME_P,1,175,86,0.491428571428572,0.429989946920794,-0.0614386245077777,0.0614386245077777
PC3M_DMSO,ME_P,1,177,28,0.15819209039548,0.44186711745779,0.28367502706231,0.28367502706231
