Model,ConnGroup,AP,LogLoss,Brier,ROC
ME2P,16,0.792546466218427,0.555930995535174,0.186517362117134,0.792880258899676
ME2P,17,0.915960427439367,0.494296912950374,0.159900089701203,0.910958904109589
ME2P,18,0.898655197635507,0.611119033148079,0.214280336121954,0.884761084804133
ME2P,19,0.863179797257055,0.60299307180648,0.207181996361023,0.828161096565532
XEN,1,0.379349309363493,0.560169829180088,0.185352204338185,0.714646464646465
XEN,2,0.352545471617468,0.503060890512582,0.157573732559262,0.830299687442545
XEN,3,0.636258232141414,0.607916154304841,0.208078013448894,0.78384855020369
XEN,4,0.270445997467497,0.54891436336794,0.179797707601392,0.625454545454546
XEN,5,0.14653932334428,0.496108583969065,0.153791381388153,0.817045454545455
XEN,6,0.0245403635228283,0.723244121465212,0.265043351953092,0.322509225092251
XEN,7,0.616898755719475,0.67806899180399,0.242598609458273,0.64193374974401
XEN,8,0.54774976800943,0.704101236054298,0.25526891606092,0.559493571958892
XEN,9,0.534064545668899,0.594016062651864,0.20181972461482,0.727563343594601
XEN,10,0.615565996001366,0.707132186403454,0.256754896401652,0.585567678324373
XEN,11,0.342105012378231,0.67481251063705,0.241006068797875,0.52399185004075
XEN,12,0.715818859221255,1.1640900991516,0.448865454742811,0.417017543859649
XEN,13,0.63835468867811,0.683728365010463,0.245348965781251,0.644107656127515
XEN,14,0.292554678123871,0.599532653017499,0.204716495896257,0.601629913710451
XEN,15,0.648501421306329,0.864424985066252,0.326601277265845,0.521069101508916
XEN,16,0.640295909123075,0.665441648457555,0.236366810222151,0.651887810140237
XEN,17,0.609694672081817,0.688104514584912,0.247273437101773,0.603711260079666
XEN,18,0.594957228523913,0.778221521303052,0.288993284079132,0.557942315970728
XEN,19,0.681281213672649,0.73034476295209,0.267242219063272,0.623556137378716
