Entry	Gene Names (primary)	Gene Names	Protein names
I1YAP6	TRIM77	TRIM77 TRIM77P	Tripartite motif-containing protein 77
I3L0S3	PYCARD-AS1	PYCARD-AS1 C16orf98 PYCARDOS	Putative uncharacterized protein PYCARD-AS1 (PYCARD antisense RNA 1) (PYCARD antisense gene protein 1) (PYCARD opposite strand protein)
I3L1E1	C19orf84	C19orf84	piRNA-mediated silencing protein C19orf84
I3L3L1	ARL17B	ARL17B ARL17	Putative ADP-ribosylation factor-like protein 17B
I6L899	GOLGA8R	GOLGA8R	Golgin subfamily A member 8R
K7EIQ3	ZNF561-AS1	ZNF561-AS1 C19orf82	Uncharacterized protein ZNF561-AS1 (ZNF561 antisense RNA 1) (ZNF561 antisense gene protein 1)
M0QZC1	RNF225	RNF225	RING finger protein 225
O00193	SMAP	SMAP C11orf58	Small acidic protein
O14603	PRY; PRY2; PRYP3; PRYP4	PRY PRY1 PTPN13LY; PRY2 PTPN13LY2; PRYP3; PRYP4	PTPN13-like protein, Y-linked (Testis-specific PTP-BL-related Y protein)
O14609	XKRY	XKRY XKRY1	Testis-specific XK-related protein, Y-linked
O14683	TP53I11	TP53I11 PIG11	Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein)
O15172	PSPHP1	PSPHP1 CO9 PSPHL	Putative phosphoserine phosphatase-like protein (L-3-phosphoserine-phosphatase homolog)
O15428	PIN1P1	PIN1P1 PIN1L	Putative PIN1-like protein (Peptidylprolyl cis-trans isomerase NIMA-interacting 1 pseudogene 1)
O43261	DLEU1	DLEU1 LEU1 XTP6	Leukemia-associated protein 1 (Deleted in lymphocytic leukemia 1) (HBV X-transactivated gene 6 protein) (HBV XAg-transactivated protein 6)
O43304	SEC14L5	SEC14L5 KIAA0420	SEC14-like protein 5
O60688	YPEL1	YPEL1 FKSG3	Protein yippee-like 1
O60813	PRAMEF11	PRAMEF11	PRAME family member 11
O75071	EFCAB14	EFCAB14 KIAA0494	EF-hand calcium-binding domain-containing protein 14
O75200	NPIPB7	NPIPB7 NPIPL1	Nuclear pore complex-interacting protein family member B7 (Nuclear pore complex-interacting protein-like 1)
O75264	SMIM24	SMIM24 C19orf77 HSPC323	Small integral membrane protein 24
O76042	ERC2-IT1	ERC2-IT1 C1orf1 C3orf51	Putative uncharacterized protein encoded by ERC2-IT1 (ERC2 intronic transcript protein 1) (PO42)
O95177	GAS8-AS1	GAS8-AS1 C16orf3	Uncharacterized protein GAS8-AS1 (GAS8 antisense RNA 1) (GAS8 antisense gene protein 1)
O95397	PLEKHA8P1	PLEKHA8P1 PLEKHA9 HAW1053	Putative protein PLEKHA9 (Pleckstrin homology domain-containing family A member 8 pseudogene 1)
O95473	SYNGR4	SYNGR4	Synaptogyrin-4
O95561	C1orf105	C1orf105	Uncharacterized protein C1orf105
O95567	C22orf31	C22orf31	Uncharacterized protein C22orf31
O95626	ANP32D	ANP32D PP32R2	Acidic leucine-rich nuclear phosphoprotein 32 family member D (Phosphoprotein 32-related protein 2) (Tumorigenic protein pp32r2)
O95873	C6orf47	C6orf47 G4	Uncharacterized protein C6orf47 (Protein G4)
O96002	CXorf1	CXorf1	Putative transmembrane protein CXorf1
P02728			Erythrocyte membrane glycopeptide
P02729			Urine glycopeptide
P09565		GIG44 PP9974	Putative insulin-like growth factor 2-associated protein (Cell growth-inhibiting gene 44 protein) (Insulin-like growth factor II-associated protein)
P0C221	CCDC175	CCDC175 C14orf38	Coiled-coil domain-containing protein 175
P0C2L3	FAM163B	FAM163B C9orf166	Protein FAM163B
P0C2S0	CTXN2	CTXN2	Cortexin-2
P0C2W7	CT47B1	CT47B1 CT47.13	Cancer/testis antigen family 47 member B1 (Cancer/testis antigen 47.13) (CT47.13)
P0C2Y1	NBPF7P	NBPF7P NBPF7	Putative NBPF family member NBPF7 (Putative neuroblastoma breakpoint family member 7)
P0C671	BNIP5	BNIP5 C6orf222	Protein BNIP5
P0C672	TSPAN19	TSPAN19	Tetraspanin-19 (Tspan-19)
P0C6C1	ANKRD34C	ANKRD34C	Ankyrin repeat domain-containing protein 34C
P0C6P0	NBEAP1	NBEAP1 BCL8 BCL8A	Putative protein BCL8 (Neurobeachin pseudogene 1)
P0C7L1	SPINK8	SPINK8	Serine protease inhibitor Kazal-type 8
P0C7M6	IQCF3	IQCF3	IQ domain-containing protein F3
P0C7M8	CLEC2L	CLEC2L	C-type lectin domain family 2 member L
P0C7N4	TMEM191B	TMEM191B	Transmembrane protein 191B
P0C7N5	OR8U9	OR8U9	Olfactory receptor 8U9
P0C7N8	OR9G9	OR9G9	Olfactory receptor 9G9
P0C7P2	RFPL3S	RFPL3S RFPL3-AS1	Putative protein RFPL3S (RFPL3 antisense RNA 1) (RFPL3 antisense gene protein 1) (Ret finger protein-like 3 antisense gene protein)
P0C7T7	FRMD6-AS1	FRMD6-AS1 C14orf82	Putative uncharacterized protein FRMD6-AS1 (FRMD6 antisense RNA 1) (FRMD6 antisense gene protein 1)
P0C7T8	TMEM253	TMEM253 C14orf176 C14orf95	Transmembrane protein 253
P0C7V0	AHI1-DT	AHI1-DT C6orf217 LINC00271 NCRNA00271	Putative uncharacterized protein encoded by LINC00271 (AHI1 divergent transcript)
P0C7V4	FAM90A15	FAM90A15 FAM90A15P	Protein FAM90A15
P0C7V6	SUPT20HL2	SUPT20HL2 FAM48B2	Transcription factor SPT20 homolog-like 2
P0C7V8	DCAF8L2	DCAF8L2 WDR42C	DDB1- and CUL4-associated factor 8-like protein 2 (WD repeat-containing protein 42C)
P0C7V9	METTL15P1	METTL15P1 METT5D2	Putative methyltransferase-like protein 15P1 (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 2) (Methyltransferase-like protein 15 pseudogene 1)
P0C7W0	PRR29	PRR29 C17orf72	Proline-rich protein 29
P0C7W8	FAM90A13	FAM90A13 FAM90A13P	Protein FAM90A13
P0C7W9	FAM90A14	FAM90A14 FAM90A14P	Protein FAM90A14
P0C7X0	FAM90A24	FAM90A24 FAM90A24P	Protein FAM90A24
P0C7X3	CCNYL3	CCNYL3	Putative cyclin-Y-like protein 3
P0C851	PIRT	PIRT	Phosphoinositide-interacting protein
P0C853	BAALC-AS2	BAALC-AS2 BAALCOS C8orf56	Putative uncharacterized protein BAALC-AS2 (BAALC antisense RNA 2) (BAALC antisense gene protein 2) (BAALC opposite strand protein)
P0C854	CECR9	CECR9	Putative cat eye syndrome critical region protein 9
P0C864	DANCR	DANCR ANCR KIAA0114 SNHG13	Putative uncharacterized protein DANCR (Anti-differentiation ncRNA protein) (Differentiation antagonizing non-protein coding RNA) (Small nucleolar RNA host gene protein 13)
P0C866	LINC00869	LINC00869 FAM91A2 KIAA0493	Putative uncharacterized protein encoded by LINC00869
P0C874	SPATA31D3	SPATA31D3 FAM75D3	Spermatogenesis-associated protein 31D3 (Protein FAM75D3)
P0CAT3	TLX1NB	TLX1NB TDI	Putative TLX1 neighbor protein (TLX1 divergent gene protein)
P0CB48	UBTFL6	UBTFL6	Putative upstream-binding factor 1-like protein 6
P0CE71	OCM2	OCM2 OCMN	Oncomodulin-2
P0CF75	EBLN1	EBLN1	Endogenous Bornavirus-like nucleoprotein 1 (Endogenous Borna-like N element-1) (EBLN-1)
P0CG23	ZNF853	ZNF853	Zinc finger protein 853
P0CG32	ZCCHC18	ZCCHC18	Zinc finger CCHC domain-containing protein 18
P0CG33	GOLGA6D	GOLGA6D	Golgin subfamily A member 6D
P0CG41	CTAGE8	CTAGE8	cTAGE family member 8 (Protein cTAGE-8)
P0CI00	ZNF705B	ZNF705B	Zinc finger protein 705B
P0CI01	SPDYE6	SPDYE6	Speedy protein E6
P0CJ68	MTRNR2L1	MTRNR2L1	Humanin-like 1 (HN1) (MT-RNR2-like protein 1)
P0CJ69	MTRNR2L2	MTRNR2L2	Humanin-like 2 (HN2) (MT-RNR2-like protein 2)
P0CJ70	MTRNR2L3	MTRNR2L3	Humanin-like 3 (HN3) (MT-RNR2-like protein 3)
P0CJ71	MTRNR2L4	MTRNR2L4	Humanin-like 4 (HN4) (MT-RNR2-like protein 4)
P0CJ73	MTRNR2L6	MTRNR2L6	Humanin-like 6 (HN6) (MT-RNR2-like protein 6)
P0CJ74	MTRNR2L7	MTRNR2L7	Humanin-like 7 (HN7) (MT-RNR2-like protein 7)
P0CJ75	MTRNR2L8	MTRNR2L8	Humanin-like 8 (HN8) (MT-RNR2-like protein 8)
P0CJ76	MTRNR2L9	MTRNR2L9	Humanin-like 9 (HN9) (MT-RNR2-like protein 9)
P0CJ77	MTRNR2L10	MTRNR2L10	Humanin-like 10 (HN10) (MT-RNR2-like protein 10)
P0CJ85	DUX4L2	DUX4L2	Double homeobox protein 4-like protein 2
P0CJ86	DUX4L3	DUX4L3	Double homeobox protein 4-like protein 3
P0CJ87	DUX4L4	DUX4L4	Double homeobox protein 4-like protein 4
P0CJ88	DUX4L5	DUX4L5	Double homeobox protein 4-like protein 5
P0CJ89	DUX4L6	DUX4L6	Double homeobox protein 4-like protein 6
P0CJ90	DUX4L7	DUX4L7	Double homeobox protein 4-like protein 7
P0CJ92	GOLGA8H	GOLGA8H	Golgin subfamily A member 8H
P0CL80	GAGE12F	GAGE12F	G antigen 12F (GAGE-12F)
P0CL81	GAGE12G	GAGE12G	G antigen 12G (GAGE-12G)
P0CL83	STAG3L1	STAG3L1	Putative STAG3-like protein 1 (Stromal antigen 3-like protein 1)
P0CL84	STAG3L2	STAG3L2	Putative STAG3-like protein 2 (Stromal antigen 3-like protein 2)
P0CL85	STAG3L3	STAG3L3	STAG3-like protein 3 (Stromal antigen 3-like protein 3)
P0CW19	LIMS3	LIMS3 PINCH3	LIM and senescent cell antigen-like-containing domain protein 3 (Particularly interesting new Cys-His protein 3) (PINCH-3)
P0CW21	SPART-AS1	SPART-AS1 C13orf43 SPG20-AS1 SPG20OS	Putative uncharacterized protein SPART-AS1 (SPART antisense RNA 1) (SPG20 antisense RNA 1) (SPG20 opposite strand transcript protein)
P0CW24	PNMA6A	PNMA6A PNMA6C	Paraneoplastic antigen-like protein 6A
P0CW27	CCDC166	CCDC166	Coiled-coil domain-containing protein 166
P0DI80	ERLN	ERLN C17orf110 SMIM6	Endoregulin (ELN) (Small integral membrane protein 6)
P0DJ93	SMIM13	SMIM13 C6orf228	Small integral membrane protein 13
P0DJG4	SPMAP2L	SPMAP2L THEGL	Sperm microtubule associated protein 2-like (Testicular haploid expressed gene protein-like) (Theg spermatid-like protein)
P0DJH9	RD3L	RD3L	Protein RD3-like (Retinal degeneration protein 3-like)
P0DJR0	GIMD1	GIMD1	GTPase IMAP family member GIMD1 (GIMAP family P-loop NTPase domain-containing protein 1)
P0DKX0	ZNF728	ZNF728	Zinc finger protein 728
P0DKX4	SMIM18	SMIM18	Small integral membrane protein 18
P0DL12	SMIM17	SMIM17	Small integral membrane protein 17
P0DMB1	PRR23D2	PRR23D2	Proline-rich protein 23D2
P0DMB2	C8orf88	C8orf88	Uncharacterized protein C8orf88
P0DMP1	MTRNR2L12	MTRNR2L12	Humanin-like 12 (HN12) (MT-RNR2-like protein 12)
P0DMQ5	INAFM2	INAFM2 LINC00984 OGU1	Putative transmembrane protein INAFM2 (InaF-motif-containing protein 2) (Osteogenesis up-regulated transcript 1)
P0DMR1	HNRNPCL4	HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 4
P0DMR2	SCGB1C2	SCGB1C2	Secretoglobin family 1C member 2
P0DMR3	ATXN8OS	ATXN8OS KLHL1AS SCA8	Putative protein ATXN8OS (ATXN8 opposite strand) (Spinocerebellar ataxia 8) (kelch-like 1 antisense)
P0DMT0	MRLN	MRLN MLN	Myoregulin
P0DMU7	CT45A6	CT45A6 CT45-6	Cancer/testis antigen family 45 member A6 (Cancer/testis antigen 45-6) (Cancer/testis antigen 45A6)
P0DMU8	CT45A5	CT45A5 CT45-5	Cancer/testis antigen family 45 member A5 (Cancer/testis antigen 45-5) (Cancer/testis antigen 45A5)
P0DMV0	CT45A7	CT45A7	Cancer/testis antigen family 45 member A7 (Cancer/testis antigen 45A7)
