Entry	Gene Names (primary)	Gene Names	Protein names
B7ZAQ6	GPHRA	GPHRA GPR89 GPR89A SH120 CGI-13 UNQ192/PRO218	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)
B7ZBB8	PPP1R3G	PPP1R3G	Protein phosphatase 1 regulatory subunit 3G
C0HME6	RPL36	RPL36	RPL36 alternative reading frame protein (alt-RPL36)
C4AMC7	WASH3P	WASH3P FAM39DP	Putative WAS protein family homolog 3 (Protein FAM39DP)
C9JE40	PATL2	PATL2	Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a)
C9JLW8	MCRIP1	MCRIP1 FAM195B GRAN2	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)
C9JR72	KBTBD13	KBTBD13	Kelch repeat and BTB domain-containing protein 13
C9JRZ8	AKR1B15	AKR1B15	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)
D3W0D1	KLRF2	KLRF2	Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)
D6RGH6	MCIDAS	MCIDAS IDAS MCI MCIN	Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)
E0CX11	STMP1	STMP1 C7orf73	Short transmembrane mitochondrial protein 1
E9PQX1	CATSPERH	CATSPERH TMEM262	Cation channel sperm-associated auxiliary subunit eta (Cation channel sperm-associated auxiliary subunit TMEM262) (Transmembrane protein 262)
F5H094	SLCO1B3-SLCO1B7	SLCO1B3-SLCO1B7	SLCO1B3-SLCO1B7 readthrough transcript protein (Liver specific transporter-3 transmembrane 12) (LST-3TM12) (Organic anion transporting polypeptide 1B3-1B7) (OATP1B3-1B7) (Solute carrier organic anion transporter family member 1B3-1B7) (SLCO1B3-SLCO1B7)
G2XKQ0	SUMO1P1	SUMO1P1 SUMO5 UBL2 UBL6	Small ubiquitin-related modifier 5 (SUMO-5) (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6)
H0YL14	TMEM250	TMEM250 C9orf69	Transmembrane protein 250 (Herpes virus UL25-binding protein)
H3BS89	TMEM178B	TMEM178B	Transmembrane protein 178B
H3BV60	TGFBR3L	TGFBR3L	Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein)
K7EJ46	SMIM22	SMIM22 CASIMO1	Small integral membrane protein 22 (Cancer-associated small integral membrane open reading frame 1)
K9M1U5	IFNL4	IFNL4	Interferon lambda-4 (IFN-lambda-4)
L0R8F8	MIEF1	MIEF1 AltMiD51 AltMIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1 (Alternative MIEF1 protein) (AltMIEF1) (MIEF1 microprotein) (MIEF1-MP) (alternative transcript upstream of MiD51) (AltMiD51)
M0R2J8	DCDC1	DCDC1 DCDC5 KIAA1493	Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)
M5A8F1	ERVH48-1	ERVH48-1 C21orf105 HERV-Fb1 NDUFV3-AS1	Suppressyn (Endogenous retrovirus group 48 member 1) (NDUFV3 antisense RNA 1) (endogenous retrovirus group Fb member 1)
O00115	DNASE2	DNASE2 DNASE2A DNL2	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)
O00116	AGPS	AGPS AAG5	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)
O00124	UBXN8	UBXN8 D8S2298E REP8 UBXD6	UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)
O00139	KIF2A	KIF2A KIF2 KNS2	Kinesin-like protein KIF2A (Kinesin-2) (hK2)
O00141	SGK1	SGK1 SGK	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)
O00142	TK2	TK2	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)
O00144	FZD9	FZD9 FZD3	Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)
O00148	DDX39A	DDX39A DDX39	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)
O00151	PDLIM1	PDLIM1 CLIM1 CLP36	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)
O00154	ACOT7	ACOT7 BACH	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)
O00155	GPR25	GPR25	C-X-C chemokine receptor GPR25 (G protein-coupled receptor 25)
O00159	MYO1C	MYO1C	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)
O00160	MYO1F	MYO1F	Unconventional myosin-If (Myosin-Ie)
O00161	SNAP23	SNAP23	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)
O00165	HAX1	HAX1 HS1BP1	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)
O00167	EYA2	EYA2 EAB1	Protein phosphatase EYA2 (EC 3.1.3.48) (Eyes absent homolog 2)
O00168	FXYD1	FXYD1 PLM	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)
O00170	AIP	AIP XAP2	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)
O00175	CCL24	CCL24 MPIF2 SCYA24	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)
O00178	GTPBP1	GTPBP1	GTP-binding protein 1 (G protein 1) (GP-1) (GP1) (EC 3.6.5.3)
O00180	KCNK1	KCNK1 HOHO1 KCNO1 TWIK1	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)
O00182	LGALS9	LGALS9	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)
O00186	STXBP3	STXBP3	Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C)
O00187	MASP2	MASP2	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]
O00189	AP4M1	AP4M1 MUARP2	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)
O00192	ARVCF	ARVCF	Splicing regulator ARVCF (Armadillo repeat protein deleted in velo-cardio-facial syndrome)
O00194	RAB27B	RAB27B	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)
O00198	HRK	HRK BID3	Activator of apoptosis harakiri (BH3-interacting domain-containing protein 3) (Neuronal death protein DP5)
O00203	AP3B1	AP3B1 ADTB3A	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)
O00204	SULT2B1	SULT2B1 HSST2	Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)
O00206	TLR4	TLR4	Toll-like receptor 4 (hToll) (CD antigen CD284)
O00212	RHOD	RHOD ARHD	Rho-related GTP-binding protein RhoD (EC 3.6.5.2) (Rho-related protein HP1) (RhoHP1)
O00213	APBB1	APBB1 FE65 RIR	Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65)
O00214	LGALS8	LGALS8	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)
O00217	NDUFS8	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)
O00219	HAS3	HAS3	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)
O00220	TNFRSF10A	TNFRSF10A APO2 DR4 TRAILR1	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261)
O00221	NFKBIE	NFKBIE IKBE	NF-kappa-B inhibitor epsilon (NF-kappa-BIE) (I-kappa-B-epsilon) (IkB-E) (IkB-epsilon) (IkappaBepsilon)
O00222	GRM8	GRM8 GPRC1H MGLUR8	Metabotropic glutamate receptor 8 (mGluR8)
O00230	CORT	CORT UNQ307/PRO350	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17; Cortistatin-14]
O00231	PSMD11	PSMD11	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)
O00232	PSMD12	PSMD12	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)
O00233	PSMD9	PSMD9	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)
O00237	RNF103	RNF103 ZFP103	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)
O00238	BMPR1B	BMPR1B	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)
O00241	SIRPB1	SIRPB1	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)
O00244	ATOX1	ATOX1 HAH1	Copper transport protein ATOX1 (Metal transport protein ATX1)
O00253	AGRP	AGRP AGRT ART	Agouti-related protein
O00254	F2RL2	F2RL2 PAR3	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)
O00255	MEN1	MEN1 SCG2	Menin
O00257	CBX4	CBX4	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)
O00258	GET1	GET1 CHD5 WRB	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)
O00264	PGRMC1	PGRMC1 HPR6.6 PGRMC	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)
O00267	SUPT5H	SUPT5H SPT5 SPT5H	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)
O00268	TAF4	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)
O00270	GPR31	GPR31	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G protein-coupled receptor 31) (GPR31/12-HETER)
O00273	DFFA	DFFA DFF1 DFF45 H13	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)
O00287	RFXAP	RFXAP	Regulatory factor X-associated protein (RFX-associated protein) (RFX DNA-binding complex 36 kDa subunit)
O00291	HIP1	HIP1	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)
O00292	LEFTY2	LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024	Left-right determination factor 2 (Endometrial bleeding-associated factor) (Left-right determination factor A) (Protein lefty-2) (Protein lefty-A) (Transforming growth factor beta-4) (TGF-beta-4)
O00294	TULP1	TULP1 TUBL1	Tubby-related protein 1 (Tubby-like protein 1)
O00299	CLIC1	CLIC1 G6 NCC27	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)
O00300	TNFRSF11B	TNFRSF11B OCIF OPG	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)
O00303	EIF3F	EIF3F EIF3S5	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)
O00305	CACNB4	CACNB4 CACNLB4	Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4)
O00308	WWP2	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)
O00311	CDC7	CDC7 CDC7L1	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)
O00322	UPK1A	UPK1A TSPAN21	Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa)
O00327	BMAL1	BMAL1 ARNTL BHLHE5 MOP3 PASD3	Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)
O00329	PIK3CD	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)
O00330	PDHX	PDHX PDX1	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)
O00337	SLC28A1	SLC28A1 CNT1	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)
O00338	SULT1C2	SULT1C2 SULT1C1	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase 1C1) (SULT1C#1) (humSULTC2)
O00339	MATN2	MATN2 UNQ193/PRO219	Matrilin-2
O00341	SLC1A7	SLC1A7 EAAT5	Excitatory amino acid transporter 5 (Retinal glutamate transporter) (Solute carrier family 1 member 7)
O00358	FOXE1	FOXE1 FKHL15 FOXE2 TITF2 TTF2	Forkhead box protein E1 (Forkhead box protein E2) (Forkhead-related protein FKHL15) (HFKH4) (HNF-3/fork head-like protein 5) (HFKL5) (Thyroid transcription factor 2) (TTF-2)
O00370			LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]
O00391	QSOX1	QSOX1 QSCN6 UNQ2520/PRO6013	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)
O00399	DCTN6	DCTN6 WS3	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)
O00400	SLC33A1	SLC33A1 ACATN AT1	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)
O00401	WASL	WASL	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)
O00408	PDE2A	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)
O00409	FOXN3	FOXN3 C14orf116 CHES1	Forkhead box protein N3 (Checkpoint suppressor 1)
O00410	IPO5	IPO5 KPNB3 RANBP5	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)
O00411	POLRMT	POLRMT	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)
O00418	EEF2K	EEF2K	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)
O00421	CCRL2	CCRL2 CCR11 CCR6 CKRX CRAM HCR	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)
O00422	SAP18	SAP18 GIG38	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)
O00423	EML1	EML1 EMAP1 EMAPL EMAPL1	Echinoderm microtubule-associated protein-like 1 (EMAP-1) (HuEMAP-1)
O00425	IGF2BP3	IGF2BP3 IMP3 KOC1 VICKZ3	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)
O00429	DNM1L	DNM1L DLP1 DRP1	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)
O00442	RTCA	RTCA RPC RPC1 RTC1 RTCD1	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)
O00443	PIK3C2A	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)
O00444	PLK4	PLK4 SAK STK18	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)
O00445	SYT5	SYT5	Synaptotagmin-5 (Synaptotagmin V) (SytV)
O00451	GFRA2	GFRA2 GDNFRB RETL2 TRNR2	GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2)
O00453	LST1	LST1 B144	Leukocyte-specific transcript 1 protein (Protein B144)
O00459	PIK3R2	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)
O00461	GOLIM4	GOLIM4 GIMPC GOLPH4 GPP130	Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)
O00462	MANBA	MANBA MANB1	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)
O00463	TRAF5	TRAF5 RNF84	TNF receptor-associated factor 5 (RING finger protein 84)
O00468	AGRN	AGRN AGRIN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]
O00469	PLOD2	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)
O00470	MEIS1	MEIS1	Homeobox protein Meis1
O00471	EXOC5	EXOC5 SEC10 SEC10L1	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)
O00472	ELL2	ELL2	RNA polymerase II elongation factor ELL2
O00476	SLC17A3	SLC17A3 NPT4	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)
O00478	BTN3A3	BTN3A3 BTF3	Butyrophilin subfamily 3 member A3
O00481	BTN3A1	BTN3A1 BTF5	Butyrophilin subfamily 3 member A1 (CD antigen CD277)
O00482	NR5A2	NR5A2 B1F CPF FTF	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)
O00483	COXFA4	COXFA4 NDUFA4	Cytochrome c oxidase subunit FA4 (Complex I-MLRQ) (CI-MLRQ) (Cytochrome c oxidase subunit NDUFA4) (NADH-ubiquinone oxidoreductase MLRQ subunit)
O00487	PSMD14	PSMD14 POH1	Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)
O00488	ZNF593	ZNF593 ZT86	Zinc finger protein 593 (Zinc finger protein T86)
O00499	BIN1	BIN1 AMPHL	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)
O00501	CLDN5	CLDN5 AWAL TMVCF	Claudin-5 (Transmembrane protein deleted in VCFS) (TMDVCF)
O00505	KPNA3	KPNA3 QIP2	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)
O00506	STK25	STK25 SOK1 YSK1	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)
O00507	USP9Y	USP9Y DFFRY	Ubiquitin carboxyl-terminal hydrolase 9Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)
O00512	BCL9	BCL9	B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)
O00519	FAAH	FAAH FAAH1	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1)
O00522	KRIT1	KRIT1 CCM1	Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein)
O00526	UPK2	UPK2	Uroplakin-2 (UP2) (Uroplakin II) (UPII)
O00533	CHL1	CHL1 CALL	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]
