"BaseAccession"	"Reviewed"	"Entry Name"	"Protein names"	"Gene Names (primary)"	"Gene Ontology IDs"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Protein families"	"Domain [FT]"
"O15516"	"reviewed"	"CLOCK_HUMAN"	"Circadian locomoter output cycles protein kaput (hCLOCK) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 8) (bHLHe8)"	"CLOCK"	"GO:0000077; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003677; GO:0003700; GO:0004402; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006351; GO:0006355; GO:0006357; GO:0006473; GO:0007165; GO:0007283; GO:0007623; GO:0009648; GO:0031490; GO:0032922; GO:0033391; GO:0042634; GO:0042752; GO:0042753; GO:0043161; GO:0043565; GO:0045892; GO:0045893; GO:0046983; GO:0050729; GO:0050796; GO:0051775; GO:0070888; GO:0071479; GO:1990513; GO:1990837; GO:2000074; GO:2000323"	"cellular response to ionizing radiation [GO:0071479]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; DNA damage checkpoint signaling [GO:0000077]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway [GO:2000323]; photoperiodism [GO:0009648]; positive regulation of circadian rhythm [GO:0042753]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of inflammatory response [GO:0050729]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein acetylation [GO:0006473]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]; regulation of hair cycle [GO:0042634]; regulation of insulin secretion [GO:0050796]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of type B pancreatic cell development [GO:2000074]; response to redox state [GO:0051775]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]"	"chromatin [GO:0000785]; chromatoid body [GO:0033391]; chromosome [GO:0005694]; CLOCK-BMAL transcription complex [GO:1990513]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; histone acetyltransferase activity [GO:0004402]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]"	""	"DOMAIN 34..84; /note=""bHLH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00981""; DOMAIN 107..177; /note=""PAS 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00140""; DOMAIN 262..332; /note=""PAS 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00140""; DOMAIN 336..379; /note=""PAC"""
"O43299"	"reviewed"	"AP5Z1_HUMAN"	"AP-5 complex subunit zeta-1 (Adaptor-related protein complex 5 zeta subunit) (Zeta5)"	"AP5Z1"	"GO:0000724; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0005770; GO:0007040; GO:0015031; GO:0016192; GO:0016197; GO:0016607; GO:0030119; GO:0044599"	"double-strand break repair via homologous recombination [GO:0000724]; endosomal transport [GO:0016197]; lysosome organization [GO:0007040]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]"	"AP-5 adaptor complex [GO:0044599]; AP-type membrane coat adaptor complex [GO:0030119]; cytoplasm [GO:0005737]; late endosome [GO:0005770]; lysosome [GO:0005764]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	""	""	""
"O43318"	"reviewed"	"M3K7_HUMAN"	"Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)"	"MAP3K7"	"GO:0000165; GO:0000287; GO:0001223; GO:0002223; GO:0002726; GO:0002753; GO:0002755; GO:0004674; GO:0004707; GO:0004709; GO:0005114; GO:0005524; GO:0005634; GO:0005737; GO:0005789; GO:0005829; GO:0005886; GO:0006351; GO:0006954; GO:0006955; GO:0007179; GO:0007249; GO:0007252; GO:0007254; GO:0008349; GO:0010008; GO:0010629; GO:0016239; GO:0016301; GO:0030971; GO:0031625; GO:0032743; GO:0034138; GO:0034142; GO:0035173; GO:0035666; GO:0035872; GO:0038066; GO:0038095; GO:0038172; GO:0038173; GO:0042742; GO:0042770; GO:0042802; GO:0043123; GO:0043276; GO:0043408; GO:0043507; GO:0045787; GO:0045793; GO:0050852; GO:0051403; GO:0070498; GO:0071356; GO:0071456; GO:0097110; GO:0106310; GO:0120283; GO:0140297; GO:0140672; GO:0141111; GO:1901224; GO:1904385; GO:1904707; GO:1904754; GO:1990450"	"anoikis [GO:0043276]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to angiotensin [GO:1904385]; cellular response to hypoxia [GO:0071456]; cellular response to tumor necrosis factor [GO:0071356]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to bacterium [GO:0042742]; DNA-templated transcription [GO:0006351]; Fc-epsilon receptor signaling pathway [GO:0038095]; I-kappaB phosphorylation [GO:0007252]; immune response [GO:0006955]; inflammatory response [GO:0006954]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-17A-mediated signaling pathway [GO:0038173]; interleukin-33-mediated signaling pathway [GO:0038172]; JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of gene expression [GO:0010629]; nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0035872]; p38MAPK cascade [GO:0038066]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell size [GO:0045793]; positive regulation of cGAS/STING signaling pathway [GO:0141111]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of macroautophagy [GO:0016239]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; regulation of MAPK cascade [GO:0043408]; signal transduction in response to DNA damage [GO:0042770]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; toll-like receptor 3 signaling pathway [GO:0034138]; toll-like receptor 4 signaling pathway [GO:0034142]; transforming growth factor beta receptor signaling pathway [GO:0007179]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]"	"ATAC complex [GO:0140672]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; nucleus [GO:0005634]; plasma membrane [GO:0005886]"	"ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; histone kinase activity [GO:0035173]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; linear polyubiquitin binding [GO:1990450]; magnesium ion binding [GO:0000287]; MAP kinase activity [GO:0004707]; MAP kinase kinase kinase activity [GO:0004709]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase binding [GO:0120283]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110]; transcription coactivator binding [GO:0001223]; type II transforming growth factor beta receptor binding [GO:0005114]; ubiquitin protein ligase binding [GO:0031625]"	"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily"	"DOMAIN 36..291; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""
"O43464"	"reviewed"	"HTRA2_HUMAN"	"Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)"	"HTRA2"	"GO:0000785; GO:0004252; GO:0005634; GO:0005739; GO:0005758; GO:0005783; GO:0005789; GO:0005829; GO:0005856; GO:0006508; GO:0007005; GO:0008233; GO:0008236; GO:0008630; GO:0009635; GO:0009898; GO:0012501; GO:0016020; GO:0016540; GO:0030163; GO:0030291; GO:0031966; GO:0034599; GO:0034605; GO:0035458; GO:0035556; GO:0035631; GO:0035694; GO:0042802; GO:0043065; GO:0043524; GO:0045786; GO:0051082; GO:0051402; GO:0071300; GO:0071363; GO:0097194; GO:1900119; GO:1902176; GO:1903146; GO:1903955; GO:1905090; GO:1905370; GO:1990948; GO:2001241"	"cellular response to growth factor stimulus [GO:0071363]; cellular response to heat [GO:0034605]; cellular response to interferon-beta [GO:0035458]; cellular response to oxidative stress [GO:0034599]; cellular response to retinoic acid [GO:0071300]; execution phase of apoptosis [GO:0097194]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; mitochondrial protein catabolic process [GO:0035694]; mitochondrion organization [GO:0007005]; negative regulation of cell cycle [GO:0045786]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of type 2 mitophagy [GO:1905090]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of protein targeting to mitochondrion [GO:1903955]; programmed cell death [GO:0012501]; protein autoprocessing [GO:0016540]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; regulation of autophagy of mitochondrion [GO:1903146]; response to herbicide [GO:0009635]"	"CD40 receptor complex [GO:0035631]; chromatin [GO:0000785]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; serine-type endopeptidase complex [GO:1905370]"	"identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; protein serine/threonine kinase inhibitor activity [GO:0030291]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; ubiquitin ligase inhibitor activity [GO:1990948]; unfolded protein binding [GO:0051082]"	"Peptidase S1C family"	"DOMAIN 364..445; /note=""PDZ""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00143"""
"O43715"	"reviewed"	"TRIA1_HUMAN"	"TP53-regulated inhibitor of apoptosis 1 (Protein 15E1.1) (WF-1) (p53-inducible cell-survival factor) (p53CSV)"	"TRIAP1"	"GO:0002039; GO:0005634; GO:0005739; GO:0005758; GO:0006915; GO:0015914; GO:0030330; GO:0031571; GO:0032991; GO:0034644; GO:0043066; GO:0045944; GO:0090201; GO:0097035; GO:0120009; GO:1902166; GO:2001140"	"apoptotic process [GO:0006915]; cellular response to UV [GO:0034644]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; intermembrane lipid transfer [GO:0120009]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of apoptotic process [GO:0043066]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; phospholipid transport [GO:0015914]; positive regulation of phospholipid transport [GO:2001140]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of membrane lipid distribution [GO:0097035]"	"mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"p53 binding [GO:0002039]"	"TRIAP1/MDM35 family"	"DOMAIN 5..55; /note=""CHCH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150"""
"O43719"	"reviewed"	"HTSF1_HUMAN"	"17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)"	"HTATSF1"	"GO:0000398; GO:0000724; GO:0003723; GO:0005634; GO:0005654; GO:0005684; GO:0005686; GO:0006351; GO:0035861; GO:0140463; GO:0160004; GO:1903241; GO:1990166"	"DNA-templated transcription [GO:0006351]; double-strand break repair via homologous recombination [GO:0000724]; mRNA splicing, via spliceosome [GO:0000398]; protein localization to site of double-strand break [GO:1990166]; U2-type prespliceosome assembly [GO:1903241]"	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; U2 snRNP [GO:0005686]; U2-type spliceosomal complex [GO:0005684]"	"chromatin-protein adaptor activity [GO:0140463]; poly-ADP-D-ribose modification-dependent protein binding [GO:0160004]; RNA binding [GO:0003723]"	"HTATSF1 family"	"DOMAIN 133..218; /note=""RRM 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176""; DOMAIN 264..349; /note=""RRM 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""
"O60216"	"reviewed"	"RAD21_HUMAN"	"Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)]"	"RAD21"	"GO:0000775; GO:0000785; GO:0000794; GO:0000922; GO:0000987; GO:0001666; GO:0003682; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006302; GO:0006310; GO:0006351; GO:0006357; GO:0006915; GO:0007059; GO:0007062; GO:0007131; GO:0008278; GO:0010972; GO:0016020; GO:0016363; GO:0030893; GO:0032691; GO:0032720; GO:0032733; GO:0034087; GO:0034089; GO:0034351; GO:0043524; GO:0045841; GO:0045876; GO:0051301; GO:0071168; GO:0106222; GO:0140297; GO:1990414"	"apoptotic process [GO:0006915]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; DNA-templated transcription [GO:0006351]; double-strand break repair [GO:0006302]; establishment of meiotic sister chromatid cohesion [GO:0034089]; establishment of mitotic sister chromatid cohesion [GO:0034087]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of mitotic metaphase/anaphase transition [GO:0045841]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of sister chromatid cohesion [GO:0045876]; protein localization to chromatin [GO:0071168]; reciprocal meiotic recombination [GO:0007131]; regulation of transcription by RNA polymerase II [GO:0006357]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; response to hypoxia [GO:0001666]; sister chromatid cohesion [GO:0007062]"	"chromatin [GO:0000785]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; meiotic cohesin complex [GO:0030893]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle pole [GO:0000922]"	"chromatin binding [GO:0003682]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor binding [GO:0140297]; lncRNA binding [GO:0106222]"	"Rad21 family"	""
"O60264"	"reviewed"	"SMCA5_HUMAN"	"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SMARCA5) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)"	"SMARCA5"	"GO:0000183; GO:0000785; GO:0000793; GO:0001650; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005677; GO:0005721; GO:0005730; GO:0006275; GO:0006281; GO:0006325; GO:0006334; GO:0006338; GO:0006346; GO:0006352; GO:0006355; GO:0006357; GO:0006974; GO:0016479; GO:0016589; GO:0016887; GO:0031213; GO:0031491; GO:0031507; GO:0035861; GO:0045740; GO:0045943; GO:0045944; GO:0045945; GO:0090537; GO:0140374; GO:0140658; GO:0140750; GO:0140751; GO:1905213"	"antiviral innate immune response [GO:0140374]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; DNA repair [GO:0006281]; DNA-templated transcription initiation [GO:0006352]; heterochromatin formation [GO:0031507]; negative regulation of mitotic chromosome condensation [GO:1905213]; negative regulation of transcription by RNA polymerase I [GO:0016479]; nucleosome assembly [GO:0006334]; positive regulation of DNA replication [GO:0045740]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; rDNA heterochromatin formation [GO:0000183]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]"	"CERF complex [GO:0090537]; chromatin [GO:0000785]; chromatin silencing complex [GO:0005677]; condensed chromosome [GO:0000793]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NURF complex [GO:0016589]; pericentric heterochromatin [GO:0005721]; RSF complex [GO:0031213]; site of double-strand break [GO:0035861]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone octamer slider activity [GO:0140751]; nucleosome array spacer activity [GO:0140750]; nucleosome binding [GO:0031491]"	"SNF2/RAD54 helicase family, ISWI subfamily"	"DOMAIN 192..357; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 487..638; /note=""Helicase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542""; DOMAIN 840..892; /note=""SANT 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00624""; DOMAIN 943..1007; /note=""SANT 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00624"""
"O60341"	"reviewed"	"KDM1A_HUMAN"	"Lysine-specific histone demethylase 1A (EC 1.14.11.-) (EC 1.14.11.65) (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A)"	"KDM1A"	"GO:0000122; GO:0000781; GO:0000785; GO:0002039; GO:0002052; GO:0003682; GO:0003713; GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0006351; GO:0006357; GO:0010569; GO:0010718; GO:0016491; GO:0019899; GO:0021987; GO:0031398; GO:0032452; GO:0032453; GO:0032454; GO:0032880; GO:0032991; GO:0034644; GO:0035097; GO:0035575; GO:0040029; GO:0042551; GO:0042802; GO:0043426; GO:0043518; GO:0045892; GO:0045944; GO:0046098; GO:0048812; GO:0050660; GO:0050681; GO:0055001; GO:0060765; GO:0060992; GO:0061629; GO:0061752; GO:0071320; GO:0071480; GO:0120162; GO:0140297; GO:0140457; GO:0140682; GO:0140683; GO:0140861; GO:0160217; GO:1902166; GO:1902254; GO:1990391; GO:1990841; GO:2000179; GO:2000648"	"cellular response to cAMP [GO:0071320]; cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; cerebral cortex development [GO:0021987]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA-templated transcription [GO:0006351]; epigenetic regulation of gene expression [GO:0040029]; guanine metabolic process [GO:0046098]; muscle cell development [GO:0055001]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902254]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription initiation-coupled chromatin remodeling [GO:0160217]; neuron maturation [GO:0042551]; neuron projection morphogenesis [GO:0048812]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of protein localization [GO:0032880]; regulation of transcription by RNA polymerase II [GO:0006357]; response to fungicide [GO:0060992]"	"chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; DNA repair complex [GO:1990391]; histone methyltransferase complex [GO:0035097]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription regulator complex [GO:0005667]"	"chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; enzyme binding [GO:0019899]; FAD-dependent H3K4me/H3K4me3 demethylase activity [GO:0140682]; flavin adenine dinucleotide binding [GO:0050660]; histone demethylase activity [GO:0032452]; histone H3K4 demethylase activity [GO:0032453]; histone H3K9 demethylase activity [GO:0032454]; histone H3K9me/H3K9me2 demethylase activity [GO:0140683]; histone H4K20 demethylase activity [GO:0035575]; identical protein binding [GO:0042802]; MRF binding [GO:0043426]; nuclear androgen receptor binding [GO:0050681]; oxidoreductase activity [GO:0016491]; p53 binding [GO:0002039]; promoter-specific chromatin binding [GO:1990841]; protein demethylase activity [GO:0140457]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; telomeric repeat-containing RNA binding [GO:0061752]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]"	"Flavin monoamine oxidase family"	"DOMAIN 174..273; /note=""SWIRM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00247"""
"O60671"	"reviewed"	"RAD1_HUMAN"	"Cell cycle checkpoint protein RAD1 (hRAD1) (Rad1-like DNA damage checkpoint protein)"	"RAD1"	"GO:0000077; GO:0003684; GO:0005654; GO:0005694; GO:0006281; GO:0006974; GO:0021762; GO:0030896; GO:0051598; GO:0071479"	"cellular response to ionizing radiation [GO:0071479]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; meiotic recombination checkpoint signaling [GO:0051598]; substantia nigra development [GO:0021762]"	"checkpoint clamp complex [GO:0030896]; chromosome [GO:0005694]; nucleoplasm [GO:0005654]"	"damaged DNA binding [GO:0003684]"	"Rad1 family"	""
"O60870"	"reviewed"	"KIN17_HUMAN"	"DNA/RNA-binding protein KIN17 (Binding to curved DNA) (KIN, antigenic determinant of recA protein homolog)"	"KIN"	"GO:0000398; GO:0003677; GO:0003690; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0006260; GO:0006281; GO:0006310; GO:0006397; GO:0006974; GO:0008270; GO:0016363; GO:0032991"	"DNA damage response [GO:0006974]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]"	"cytosol [GO:0005829]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]"	"KIN17 family"	""
"O60921"	"reviewed"	"HUS1_HUMAN"	"Checkpoint protein HUS1 (hHUS1)"	"HUS1"	"GO:0000077; GO:0000723; GO:0000724; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006281; GO:0006289; GO:0006974; GO:0009792; GO:0030896; GO:0031573; GO:0033314; GO:0035861; GO:0044778; GO:0071479"	"cellular response to ionizing radiation [GO:0071479]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; embryo development ending in birth or egg hatching [GO:0009792]; meiotic DNA integrity checkpoint signaling [GO:0044778]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; nucleotide-excision repair [GO:0006289]; telomere maintenance [GO:0000723]"	"checkpoint clamp complex [GO:0030896]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]"	""	"HUS1 family"	""
"O60934"	"reviewed"	"NBN_HUMAN"	"Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1) (hNbs1)"	"NBN"	"GO:0000077; GO:0000723; GO:0000724; GO:0000729; GO:0000781; GO:0001832; GO:0003684; GO:0005634; GO:0005654; GO:0005657; GO:0005730; GO:0005829; GO:0006302; GO:0007095; GO:0016605; GO:0030174; GO:0030330; GO:0030870; GO:0031848; GO:0031860; GO:0032206; GO:0035825; GO:0035861; GO:0042393; GO:0042405; GO:0043247; GO:0043539; GO:0044818; GO:0045190; GO:0051321; GO:0051726; GO:0062176; GO:0070534; GO:0090656; GO:0090737; GO:0097681; GO:0098687; GO:0110025; GO:0140031; GO:0140297; GO:0140463; GO:1904354; GO:1905168; GO:1990166; GO:2000781"	"blastocyst growth [GO:0001832]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA double-strand break processing [GO:0000729]; DNA strand resection involved in replication fork processing [GO:0110025]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via homologous recombination [GO:0000724]; homologous recombination [GO:0035825]; isotype switching [GO:0045190]; meiotic cell cycle [GO:0051321]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of telomere capping [GO:1904354]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of telomere maintenance [GO:0032206]; protection from non-homologous end joining at telomere [GO:0031848]; protein K63-linked ubiquitination [GO:0070534]; protein localization to site of double-strand break [GO:1990166]; R-loop processing [GO:0062176]; regulation of cell cycle [GO:0051726]; regulation of DNA-templated DNA replication initiation [GO:0030174]; t-circle formation [GO:0090656]; telomere maintenance [GO:0000723]; telomere maintenance in response to DNA damage [GO:0043247]; telomere maintenance via telomere trimming [GO:0090737]; telomeric 3' overhang formation [GO:0031860]"	"chromosomal region [GO:0098687]; chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; Mre11 complex [GO:0030870]; nuclear inclusion body [GO:0042405]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; replication fork [GO:0005657]; site of double-strand break [GO:0035861]"	"chromatin-protein adaptor activity [GO:0140463]; damaged DNA binding [GO:0003684]; DNA-binding transcription factor binding [GO:0140297]; histone binding [GO:0042393]; phosphorylation-dependent protein binding [GO:0140031]; protein serine/threonine kinase activator activity [GO:0043539]"	"Nibrin family"	"DOMAIN 24..83; /note=""FHA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00086""; DOMAIN 105..181; /note=""BRCT 1""; /evidence=""ECO:0000305|PubMed:19804756""; DOMAIN 224..315; /note=""BRCT 2""; /evidence=""ECO:0000305|PubMed:19804756"""
